ALBUM,ID,AmSong,MOJO,Q,RoughT,UNCUT,SPIN,SGUM,RS,CPLEX,CoS,GvB,PASTE,NME,QUIETUS,NOISEY,NPR,POPMAT,FACT,PFORK,WIRE,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Fetty Wap - Fetty Wap,151,,,,,,41,,,40,,,,30,,17,,,,,,,32.00,8,66.4,4,0
Wolf Alice - My Love is Cool,106,,,44,6,,,,,,,,,4,,,,,,,,,18.00,6,66.45,3,2
Unknown Mortal Orchestra - Multi-Love,134,,,,,12,,,,,32,,,10,,,,,,,,,18.00,6,66.45,3,1
Royal Headache - High,113,,,,8,,15,,,,,,32,,,,,,,,,,18.33,6.111111111,66.5,3,1
Songhoy Blues - Music in Exile,84,,7,,35,49,,,40,,,,,,,,,,,,,,32.75,8.1875,66.55,4,1
Foals - What Went Down,90,,,12,38,,,,,,,,,8,,,,,,,,,19.33,6.444444444,66.65,3,1
Young Fathers - White Men are Black Men Too,88,,22,,,35,,,,,,,,39,,,,50,,,,,36.50,9.125,67.3,4,0
"Jenny Hval - Apocalypse, girl",173,,,,,,,14,,,,,,,16,,,,,42,,,24.00,8,67.35,3,0
Four Tet - Morning/Evening,93,,,18,,31,,,,,,,,,,,25,,,,,,24.67,8.222222222,67.45,3,0
Low - Ones and Sixes,73,,13,,,37,,,,,,,,,,,25,,,,,,25.00,8.333333333,67.5,3,0
Ryley Walker - Primrose Green,82,,44,,27,4,,,,,,,,,,,,,,,,,25.00,8.333333333,67.5,3,1
Viet Cong - Viet Cong,127,,,,40,,,45,,,,,,46,,,,19,,,,,37.50,9.375,67.5,4,0
Laura Marling - Short Movie,89,,,8,,44,,,,,,,,28,,,,,,,,,26.67,8.888888889,67.75,3,1
Matana Roberts - Coin Coin Chapter Three: River Run Thee,295,,,,,,,,,,,,,,5,,,,,,2,,3.50,1.75,67.85,2,2
Jam City - Dream a Garden,301,,,,,,,,,,,,,,15,,,,19,,48,,27.33,9.111111111,67.85,3,0
Beach Slang - The Things We Do to Find People...,28,28,,,,,,,,,,,41,,,15,,,,,,,28.00,9.333333333,67.95,3,0
The Internet - Ego Death,204,,,,,,,,,10,,,,,,49,25,,,,,,28.00,9.333333333,67.95,3,1
Prurient - Frozen Niagara Falls,234,,,,,,,,,,43,,,,38,,,49,33,,,,40.75,10.1875,68.15,4,0
Paul Weller - Saturns Pattern,79,,25,25,,39,,,,,,,,,,,,,,,,,29.67,9.888888889,68.2,3,0
Sun Kil Moon - Universal Themes,97,,,24,,32,,,,,33,,,,,,,,,,,,29.67,9.888888889,68.2,3,0
Bill Ryder-Jones - West Kirby County Primary,52,,6,37,,,,,,,,,,47,,,,,,,,,30.00,10,68.25,3,1
FFS - FFS,102,,,34,23,34,,,,,,,,,,,,,,,,,30.33,10.11111111,68.3,3,0
Disasterpiece - It Follows,229,,,,,,,,,,22,23,,,,,,,49,,,,31.33,10.44444444,68.45,3,0
Empress Of - Me,254,,,,,,,,,,,30,,,,29,,,,37,,,32.00,10.66666667,68.55,3,0
Dr. Dre - Compton: A Soundtrack,94,,,19,,,,,,47,,,,,,,,,,32,,,32.67,10.88888889,68.65,3,0
Bob Dylan - Shadows in the Night,54,,11,,,40,,,49,,,,,,,,,,,,,,33.33,11.11111111,68.75,3,0
Waxahatchee - Ivy Tripp,170,,,,,,6,19,,,,,,,,,,,,,,,12.50,6.25,68.75,2,1
Circuit Des Yeux - In Plain Speech,224,,,,,,,,,,14,,,,11,,,,,,,,12.50,6.25,68.75,2,0
