ALBUM,ID,genre,RoughT,MOJO,UNCUT,NME,CoS,RS,PASTE,SGUM,SKINNY,CRACK,AmSong,GvsB,NPR,CMPLX,QTUS,NOISEY,EW,FL,TRBLE,PMA,mOMH,POPMT,VRNCE,JJ,SPIN,BLBRD,P4K,FACT,WIRE,LINE,BLARE,TMT,INROX,Q,VF,WEISS,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Vesuvio Solo - Don't Leave Me in the Dark,316,indie,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.55555556,1,0
A-WA - Habib Galbi,342,pop,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.55555556,1,0
Mac Miller - The Divine Feminine,361,hip hop,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.55555556,1,0
Violent Soho - WACO,428,alternative rock,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,23.00,23,73.55555556,1,0
Joyce Manor - Cody,494,power pop,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,23.00,23,73.55555556,1,0
V/A - The Hamilton Mixtape,500,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,23.00,23,73.55555556,1,0
The Pirouettes - Carrement Carrement,600,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,23.00,23,73.55555556,1,0
Pet Shop Boys - Super,610,synthpop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,23.00,23,73.55555556,1,0
Andrew Bird - Are You Serious,233,singer-songwriter,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.58333333,1,0
Sex Swing - Sex Swing,380,noise rock,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.58333333,1,0
Baroness - Purple,443,stoner metal,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,24.00,24,73.58333333,1,0
Jon Bellion - The Human Condition,474,hip hop,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,24.00,24,73.58333333,1,0
Jordie Lane & The Sleepers - Glassellland,489,americana,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,24.00,24,73.58333333,1,0
J Balvin - Energia,499,pop,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,24.00,24,73.58333333,1,0
Benjamin Biolay - Palermo Hollywood,599,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,24.00,24,73.58333333,1,0
Don't DJ - Musique Acephale,621,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,24.00,24,73.58333333,1,0
Mumdance & Logos - Mumdance & Logos Present Different Circles,641,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24.00,24,73.58333333,1,0
Cobalt - Slow Forever,247,black metal,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.61111111,1,0
Clint Mansell - Black Mirror: San Junipero,314,classical,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.61111111,1,0
DJ Diamond - Footwork or Die,620,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,25.00,25,73.61111111,1,0
St. Lucia - Matter,416,synthpop,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,26.00,26,73.63888889,1,0
Inter Arma - Paradise Gallows,442,sludge metal,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,26.00,26,73.63888889,1,0
Teeth & Tongue - Give Up on Your Health,488,indie,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,26.00,26,73.63888889,1,0
Sophia Loizou - Singulacra,521,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,26.00,26,73.63888889,1,0
Ectoplasm Girls - New Feeling Come,541,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,26.00,26,73.63888889,1,0
Suuns - Hold/Still,27,art rock,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.66666667,1,0
Gnod - Mirror,379,noise rock,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.66666667,1,0
Pantha Du Prince - The Triad,465,minimal techno,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,27.00,27,73.66666667,1,0
DVA - NOTU_URONLINEU,520,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,27.00,27,73.66666667,1,0
Bayonne - Primitives,598,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,27.00,27,73.66666667,1,0
Troller - Graphic,312,witch house,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.69444444,1,0
David Nance - More Than Enough,402,rock,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.69444444,1,0
The Jezabels - Synthia,426,art pop,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,28.00,28,73.69444444,1,0
Big Ups - Before A Million Universes,441,post-hardcore,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,28.00,28,73.69444444,1,0
Agnes Obel - Citizen of Glass,487,chamber pop,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,28.00,28,73.69444444,1,0
FIS - From Patterns to Details,519,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,28.00,28,73.69444444,1,0
Macula Dog - Why Do You Look Like Your Dog?,575,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,28.00,28,73.69444444,1,0
Johann Johannsson - Orphee,597,classical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,28.00,28,73.69444444,1,0
J-Zone - Fish-n-Grits,640,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,28.00,28,73.69444444,1,0
Brian Fallon - Painkillers,291,singer-songwriter,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.72222222,1,0
2 Chainz - Collegrove,358,hip hop,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.72222222,1,0
Jute Gyte - Perdurance,377,black metal,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.72222222,1,0
Aphex Twin - Cheetah,450,IDM,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29.00,29,73.72222222,1,0
Helena Celle - If You Can't Handle Me At My Best...,518,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,29.00,29,73.72222222,1,0
Justice - Woman,596,electro house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,29.00,29,73.72222222,1,0
Novo Line - Movements,619,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,29.00,29,73.72222222,1,0
Minor Victories - Minor Victories,30,shoegaze,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.75,1,0
Thao & The Get Down Stay Down - A Man Alive,231,indie pop,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.75,1,0
Abi Reimold - Wriggling,245,indie rock,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.75,1,0
"Cultes Des Ghoules - Coven, or Evil Ways Instead of Love",401,metal,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.75,1,0
Lapsley - Long Way Home,415,art pop,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,30.00,30,73.75,1,0
Deakin - Sleep Cycle,449,neo-psychedelia,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,30.00,30,73.75,1,0
Mykki Blanco - Mykki,459,hip hop,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,30.00,30,73.75,1,0
How to Dress Well - Care,473,r&b,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,30.00,30,73.75,1,0
Gawurra - Ratja Yaliyali,486,indie,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,30.00,30,73.75,1,0
Laraaji & Sun Araw - Professional Sunflow,540,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,30.00,30,73.75,1,0
Sad13 - Slugger,555,synthpop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,30.00,30,73.75,1,0
Lescop - Echo,595,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,30.00,30,73.75,1,0
Babymetal - Metal Resistance,197,alternative metal,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.77777778,1,0
Big Thief - Masterpiece,329,indie folk,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.77777778,1,0
808INK - Hungry,400,hip hop,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.77777778,1,0
Scott Walker - The Childhood of a Leader,539,modern classical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,31.00,31,73.77777778,1,0
Nico Muhly & Teitur - Confessions,554,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,31.00,31,73.77777778,1,0
Andy Stott - Too Many Voices,574,uk bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,31.00,31,73.77777778,1,0
Denzel Curry - Imperial,639,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,31.00,31,73.77777778,1,0
The Still - The Still,115,jazz,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.80555556,1,0
Kings of Leon - WALLS,172,alternative rock,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.80555556,1,0
Kelsey Waldon - I've Got a Way,289,americana,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.80555556,1,0
The Stargazer's Assistant - Remoteness of Light,375,post rock,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.80555556,1,0
Nails - You Will Never Be One of Us,423,grindcore,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,32.00,32,73.80555556,1,0
Paul Dempsey - Strange Loop,485,americana,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,32.00,32,73.80555556,1,0
Elza Soares - A Mulher do Fim do Mundo,504,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,32.00,32,73.80555556,1,0
Seekersinternational - RaggaPreservationSociety,517,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,32.00,32,73.80555556,1,0
Cullen Omori - New Misery,594,indie pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,32.00,32,73.80555556,1,0
The Julie Ruin - Hit Reset,33,indie rock,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.83333333,1,0
Gojira - Magma,196,progressive metal,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.83333333,1,0
Sting - 57th & 9th,213,rock,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.83333333,1,0
Ian Sweet - Shapeshifter,243,noise pop,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.83333333,1,0
Logan Richardson - Shift,333,jazz,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.83333333,1,0
BJ The Chicago Kid - In My Mind,472,r&b,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,33.00,33,73.83333333,1,0
Ohal - Acid Park,516,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,33.00,33,73.83333333,1,0
Open Mike Eagle & Paul White - Hella Personal Film Festival,638,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,33.00,33,73.83333333,1,0
Yann Tiersen - EUSA,34,classical,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
David Crosby - Lighthouse,117,singer-songwriter,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
Sioux Falls - Rot Forever,195,emo,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
Sam Beam & Jesca Hoop - Love Letter for Fire,230,indie folk,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
Hieroglyphic Being - The Disco's of Imhotep,276,techno,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
Postiljonen - Reverie,310,dream pop,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
Lori McKenna - The Bird & The Rifle,334,americana,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
Florist - The Birds Outside Sang,398,singer-songwriter,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
Diarrhea Planet - Turn to Gold,439,punk rock,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
Big Smoke - Time is Golden,484,indie,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,34.00,34,73.86111111,1,0
death's dynamic shroud.wmv - Classroom Sexxtape,573,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,34.00,34,73.86111111,1,0
Hope Sandoval & The Warm Inventions - Until the Hunter,35,dream pop,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
Eleanor Friedberger - New View,158,indie pop,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
Lake Street Dive - Side Pony,229,r&b,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
Mannequin Pussy - Romantic,242,noise rock,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
Pavel Kolesnikov - Chopin Mazurkas,336,classical,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
Baauer - Aa,356,trap,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
Kevin Abstract - American Boyfriend: A Suburban Love Story,397,alternative r&b,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
Ray LaMontagne - Ouroboros,414,singer-songwriter,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
NEEDTOBREATHE - H A R D L O V E,471,pop rock,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
Rosie Lowe - Control,483,alternative r&b,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,35.00,35,73.88888889,1,0
Pascal Pinon - Sundur,553,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,35.00,35,73.88888889,1,0
El'Blaszczyk - The Quirky Lost Tapes 1993-95,593,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,35.00,35,73.88888889,1,0
Lowtide - Lowtide,36,shoegaze,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.91666667,1,0
Maria Usbeck - Amparo,308,art pop,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.91666667,1,0
Loamlands - Sweet High Rise,396,rock,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.91666667,1,0
Jim James - Eternally Even,482,neo-psychedelia,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,36.00,36,73.91666667,1,0
Anxiety - Anxiety,537,punk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,36.00,36,73.91666667,1,0
Jake Meginsky - Seven Psychotropic Sinewave Palindromes,586,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,36.00,36,73.91666667,1,0
Georgia - All Kind Music,618,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,36.00,36,73.91666667,1,0
Vanishing Twin - Choose Your Own Adventure,37,art pop,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.94444444,1,0
The Range - Potential,192,future garage,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.94444444,1,0
Rene Marie - Sound of Red,338,jazz,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.94444444,1,0
Jambinai - A Hermitage,374,post-rock,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.94444444,1,0
Broods - Conscious,421,synthpop,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,37.00,37,73.94444444,1,0
Khemmis - Hunted,438,doom metal,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,37.00,37,73.94444444,1,0
Mutual Benefit - Skip a Sinking Stone,458,indie folk,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,37.00,37,73.94444444,1,0
The Kills - Ash & Ice,481,indie rock,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,37.00,37,73.94444444,1,0
Abra - Princess,515,alternative r&b,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,37.00,37,73.94444444,1,0
The Savage Young Taterbug - Shadow of Marlboro Man,572,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,37.00,37,73.94444444,1,0
Chris Forsyth & The Solar Motel Band - The Rarity of Experience,156,psychedelic rock,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.97222222,1,0
Slaves - Take Control,169,garage punk,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.97222222,1,0
Convextion - 2845,373,electronic,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.97222222,1,0
SubRosa - For This We Fought the Battle of Ages,437,doom metal,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,38.00,38,73.97222222,1,0
Oliver Coates - Upstepping,457,electronic,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,38.00,38,73.97222222,1,0
Second Woman - Second Woman,514,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,38.00,38,73.97222222,1,0
Ytamo - MI WO,571,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,38.00,38,73.97222222,1,0
Roly Porter - The Third Law,617,dark ambient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,38.00,38,73.97222222,1,0
Westside Gunn - Flygod,637,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,38.00,38,73.97222222,1,0
Band of Horses - Why Are You OK,39,indie rock,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74,1,0
Shovels & Rope - Little Seeds,155,folk,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74,1,0
Elton John - Wonderful Crazy Night,209,piano rock,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74,1,0
Parra for Cuva & Senoy - Darwis,260,downtempo,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74,1,0
Dreamboat - Dreamboat,307,pop,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74,1,0
Tweet - Charlene,339,neo-soul,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,74,1,0
Melody Pool - Deep Dark Savage Heart,480,americana,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,39.00,39,74,1,0
Disasterpeace  - Hyper Light Drifter,513,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,39.00,39,74,1,0
The Dwarfs of East Agouza - Bes,536,experimental rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,39.00,39,74,1,0
Basement - Promise Everything,564,alternative rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,39.00,39,74,1,0
Julian Dore - &,592,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,39.00,39,74,1,0
Nothing - Tired of Tomorrow,40,shoegaze,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.02777778,1,0
Gold Panda - Good Luck and Do Your Best,259,microhouse,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.02777778,1,0
NV - Binasu,306,art pop,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.02777778,1,0
Kemper Norton - Toll,372,experimental,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.02777778,1,0
The Growlers - City Club,394,garage rock,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,40.00,40,74.02777778,1,0
Colin Stetson - Sorrow,456,modern classical,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,40.00,40,74.02777778,1,0
Botany - Deepak Verbera,512,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,40.00,40,74.02777778,1,0
Catherine Christer Hennix - Live at Issue Project Room,535,drone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,40.00,40,74.02777778,1,0
Wet - Don't You,563,alternative r&b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,40.00,40,74.02777778,1,0
Klein - Only,570,ambient pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,40.00,40,74.02777778,1,0
DJ Rashad - Afterlife,273,electronic,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.05555556,1,0
Lera Lynn - Resistor,287,americana,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.05555556,1,0
LIZ - Cross Your Heart,305,r&b,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.05555556,1,0
Cari Gari & Abdullah Miniawy,330,electronic,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.05555556,1,0
Tkay Maidza - Tkay,412,electropop,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,41.00,41,74.05555556,1,0
Tyshawn Sorey - The Inner Spectrum of Variables,455,jazz,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,41.00,41,74.05555556,1,0
Horse Lords - Interventions,534,experimental rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,41.00,41,74.05555556,1,0
Wati Watia Zorey Band - Zanz In Lanfer,591,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,41.00,41,74.05555556,1,0
Ragnar Kjartansson - The Visitors,615,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,41.00,41,74.05555556,1,0
GOGGS - GOGGS,42,garage punk,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
Brigid Mae Power - Brigid Mae Power,152,singer-songwriter,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
Shield Patterns - Mirror Breathing,258,ambient,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
Conor Oberst - Ruminations,286,singer-songwriter,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
DJDS - Stand Up and Speak,304,house,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
Pure Disgust - Pure Disgust,337,punk,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
DRAM - Big Baby DRAM,352,hip hop,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
Black Merlin - Hipnotik Tradisi,370,experimental,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
Cemetery Piss - Order of the Vulture,393,metal,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
Loretta Lynn - Full Circle,411,country,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
Descendents - Hypercaffium Spazzinate,479,punk rock,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,42.00,42,74.08333333,1,0
Will Long - Long Trax,511,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,42.00,42,74.08333333,1,0
Roy Montgomery - R M H Q: Headquarters,533,neo-psychedelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,42.00,42,74.08333333,1,0
AURORA - All My Demons Greeting Me as a Friend,552,art pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,42.00,42,74.08333333,1,0
DJ Coquelin & MC Cloarec - JE M'EN TAPE,569,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,42.00,42,74.08333333,1,0
Elucid - Save Yourself,636,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,42.00,42,74.08333333,1,0
Bill Baird - Earth into Aether,43,psychedelic pop,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.11111111,1,0
Roisin Murphy - Take Her Up to Monto,151,art pop,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.11111111,1,0
Raime - Tooth,272,dark ambient,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.11111111,1,0
Amanda Shires - My Piece of Land,285,americana,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.11111111,1,0
