ALBUM,ID,genre,RoughT,MOJO,UNCUT,NME,CoS,RS,PASTE,SGUM,SKINNY,CRACK,AmSong,GvsB,NPR,CMPLX,QTUS,NOISEY,EW,FL,TRBLE,PMA,mOMH,POPMT,VRNCE,JJ,SPIN,BLBRD,P4K,FACT,WIRE,LINE,BLARE,TMT,INROX,Q,VF,WEISS,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
NxWorries - Yes Lawd!,268,neo-soul,,,,,,,,,,49,,32,,22,,,,,,,,,,,,,28,,,,,,,,,8,,27.80,5.56,68.44444444,5,1
21 Savage - Savage Mode,279,hip hop,,,,,,,,,,17,,,,39,,14,,,,,,,,,,,50,,,,,,,,,21,,28.20,5.64,68.5,5,0
Charles Bradley - Changes,5,soul,5,14,,,,,43,,,,,,,,,,,,,,,41,,,,,,,,39,,,,,,,,28.40,5.68,68.52777778,5,1
Hamilton Leithauser & Rostam - I Had A Dream You Were Mine,225,indie rock,,,,,,,46,,,,37,,,,,,45,,,,23,33,,,,,35,,,,,,,,,,,36.50,6.083333333,68.58333333,6,0
Kevin Morby - Singing Saw,28,folk rock,28,23,50,,,,,,44,,,,,,,,,,,,,,,,,,34,,,,,,,41,,,,36.67,6.111111111,68.61111111,6,0
"Let's Eat Grandma - I, Gemini",154,ambient pop,,,40,34,,,,,,,,,,,,,,,,,20,,,,,,,,,26,,,,29,,,,29.80,5.96,68.72222222,5,0
Julia Jacklin - Don't Let The Kids Win,263,singer-songwriter,,,,,,,,,34,,,,,,,,,36,,,,,,14,,,,,,41,,,,24,,,,29.80,5.96,68.72222222,5,0
Jamila Woods - HEAVN,200,alternative r&b,,,,,26,,,37,,,,,27,,,,,,,,,,27,,,,36,,,,,,,,,,,30.60,6.12,68.83333333,5,0
D.D Dumbo - Utopia Defeated,15,indie pop,15,,,,,,,,,,,,,,,,,10,,,,,,22,,,,,,,,,,,42,,,22.25,5.5625,69.13888889,4,1
The Hotelier - Goodness,189,emo,,,,,43,,,39,,,,,,,,,,,,,,,,,31,37,,,,,18,,,,,,,33.60,6.72,69.25,5,0
Noura Mint Seymali - Arbina,341,funk,,,,,,,,,,,,,26,,,,,,,,31,,,,,,,,7,,,,33,,,,,24.25,6.0625,69.36111111,4,1
Lady Gaga - Joanne,177,pop,,,,20,,,,,,,,,,43,,,,,,49,,,,,,32,,,,,,,,34,,,,35.60,7.12,69.52777778,5,0
Babyfather - BBF Hosted by DJ Escrow,404,hip hop,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,15,,,1,,,,,,9.33,3.111111111,69.52777778,3,1
Julianna Barwick - Will,264,ambient pop,,,,,,,,,32,,,,,,34,,,,,,34,,,,,,,,,40,,39,,,,,,35.80,7.16,69.55555556,5,0
PUP - The Dream Is Over,248,pop punk,,,,,,,,22,,,,,,,,19,,,,,,,,,,47,,,,,17,,,,,,,26.25,6.5625,69.58333333,4,0
