ALBUM,ID,genre,ALBM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GIGWS,GDINTV,GMA,GVSB,GUARD,HOTPRS,KRNG,L&Q,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,NPR,OOR,PASTE,PICC,PFORK,POPMT,QTUS,RIFF,RS,RTRADE,SLANT,SPTNIK,SGUM,SUNTIM,TREBLE,UNCUT,UTR,WIRE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Conjurer - Páthos,644,metal,,,,,,,,,,,,,,,,,,,,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,10,74.25531915,2,1,0
Pinkshift - Love Me Forever,892,metal,,21,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,10,74.25531915,2,0,0
Venom Prison - Erebos,1030,metal,,,,,,,,,,,,,,,,,,,,34,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,10,74.25531915,2,1,0
The Soft Pink Truth - Is It Going To Get Any Deeper Than This?,505,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,28,,,,,20.50,10.25,74.27659574,2,0,0
"MAVI - Laughing so Hard, it Hurts",829,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,34,,,,47,,,,,,,,,,,39.00,13,74.29787234,3,0,0
Mary Halvorson - Amaryllis,826,jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,17,,21.00,10.5,74.29787234,2,0,0
Mary Halvorson - Belladonna,827,jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,17,,21.00,10.5,74.29787234,2,0,0
Gunna - DS4EVER,166,hip hop,,,,22,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,10.5,74.29787234,2,0,0
Goat - Oh Death,713,rock,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,27,,,,,,,,,,,,,,,,22.00,11,74.34042553,2,0,0
Ibibio Sound Machine - Electricity,419,funk,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,18,,,,,,,,,,22.50,11.25,74.36170213,2,0,0
Caitlin Rose - CAZIMI,105,country,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,21,,,,,,,,,,22.50,11.25,74.36170213,2,0,0
"King Gizzard and the Lizard Wizard - Ice, Death, Planets, Lungs...",787,rock,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,22.50,11.25,74.36170213,2,0,0
Pete Yorn - Hawaii,49,rock,27,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,11.5,74.38297872,2,0,0
Machine Head - ØF KINGDØM AND CRØWN,813,metal,,,,,,,,,,,,,,,,,,,,35,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,11.5,74.38297872,2,0,0
S.G. Goodman - Teeth Marks,922,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,36,,,,23.50,11.75,74.40425532,2,0,0
The Ephemeron Loop - Psychonautic Escapism,991,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,39,,23.50,11.75,74.40425532,2,1,0
Skullcrusher - Quiet The Room,488,folk,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,23.50,11.75,74.40425532,2,0,0
Cruel Santino - Subaru Boys: FINAL HEAVEN,399,r&b,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,24.00,12,74.42553191,2,1,0
Natalia Lafourcade - De Todas Las Flores,458,folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,33,,,,,,,,,24.00,12,74.42553191,2,0,0
Phife Dawg - FOREVER,47,hip hop,24,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,12,74.42553191,2,0,0
Bladee & Ecco2k - Crest,247,pop,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,24.00,12,74.42553191,2,0,0
Knucks - ALPHA PLACE,175,hip hop,,,,,,7,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,12.5,74.46808511,2,1,0
The Weather Station - How Is It That I Should Look at the Stars,506,folk,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,25.50,12.75,74.4893617,2,0,0
j-hope - Jack In The Box,751,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,9,,,,,,,,,,,25.50,12.75,74.4893617,2,1,0
Ho99o9 - SKIN,417,electronic,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,25.50,12.75,74.4893617,2,1,0
The Mars Volta - The Mars Volta,997,rock,,,,,,,,,,,,,,,,,,,,,,,,40,11,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,74.4893617,2,0,0
High Vis - Blending,416,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,25,,,,,26.00,13,74.5106383,2,0,0
Imperial Triumphant - Spirit of Ecstasy,742,metal,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,29,,,,,,,,26.00,13,74.5106383,2,0,0
Cloud Rat - Threshold,638,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,32,,,,,26.50,13.25,74.53191489,2,0,0
M.I.A. - MATA,448,hip hop,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,27.00,13.5,74.55319149,2,0,0
Cave In - Heavy Pendulum,255,metal,,,,,,,,,,,41,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,13.5,74.55319149,2,0,0
Warpaint - Radiate Like This,512,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,16,,,,,,,,,,,,,,,,28.00,14,74.59574468,2,0,0
The Big Moon - Here is Everything,497,rock,,,,,,,,,,,,,18,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.50,14.25,74.61702128,2,0,0
