ALBUM,ID,genre,ALBM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GIGWS,GDINTV,GMA,GVSB,GUARD,HOTPRS,KRNG,L&Q,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,NPR,OOR,PASTE,PICC,PFORK,POPMT,QTUS,RIFF,RS,RTRADE,SLANT,SPTNIK,SGUM,SUNTIM,TREBLE,UNCUT,UTR,WIRE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Widowspeak - The Jacket,513,pop,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,75.46808511,1,0,0
Mavis Staples & Levon Helm - Carry Me Home,98,soul,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,75.46808511,1,0,0
Enjoyable Listens - The Enjoyable Listten,407,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,75.46808511,1,0,0
A Place For Owls - A Place For Owls,543,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,75.46808511,1,0,0
Coby Sey - Conduit,639,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,22.00,22,75.46808511,1,0,0
Jóhann Jóhannsson - Drone Mass,766,classical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,22.00,22,75.46808511,1,0,0
Rae Morris - Rachel@Fairyland,906,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,22.00,22,75.46808511,1,0,0
Hugh Cornwell - Moments of Madness,737,rock,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,75.4893617,1,0,0
Petrol Girls - Baby,886,rock,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,75.4893617,1,0,0
Tomu DJ - Half Moon Bay,345,electronic,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,75.4893617,1,0,0
Bush - The Art of Survival,1052,rock,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,75.4893617,1,0,0
Daddy Yankee - LEGENDADDY,651,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,24.00,24,75.5106383,1,0,0
Immanuel Wilkins - The 7th Hand,741,jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,24.00,24,75.5106383,1,0,0
Emeli Sandé - Let's Say For Instance,687,soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,24.00,24,75.5106383,1,0,0
narcissus - A Sense of Place,855,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,75.5106383,1,0,0
Marina Herlop - Pripyat,183,folk,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,49.50,24.75,75.5106383,2,0,0
Bodyjar - New Rituals,251,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,75.5106383,1,0,0
Ashenspire - Hostile Architecture,568,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24.00,24,75.5106383,1,0,0
Elder - Innate Passage,682,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24.00,24,75.5106383,1,0,0
"Forests - Get In Losers, We're Going to Eternal Damnation",701,rock,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,75.5106383,1,0,0
Stray From The Path - Euthanasia,962,rock,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,75.5106383,1,0,0
Craig Finn - A Legacy of Rentals,78,rock,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,75.53191489,1,0,0
Laufey - Everything I Know About Love,440,pop,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,75.53191489,1,0,0
Elizabeth Moen - Where You Aren't,406,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,75.53191489,1,0,0
Jamal Moss - Thanks 4 The Tracks U Lost,423,electronic,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,75.53191489,1,0,0
Gospel - The Loser,714,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,25.00,25,75.53191489,1,0,0
iLe - Nacarile,740,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,25.00,25,75.53191489,1,0,0
Moderat - MORE D4TA,844,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,25.00,25,75.53191489,1,0,0
Russian Circles - Gnosis,1060,metal,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,75.53191489,1,0,0
Congotronics International - Where's The One,643,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,26.00,26,75.55319149,1,0,0
Maral - Ground Groove,296,electronic,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,75.55319149,1,0,0
Miiesha - Smoke & Mirrors,301,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,75.55319149,1,0,0
Thumper - Delusions of Grandeur,528,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,75.55319149,1,0,0
Knifeplay - Animal Drowning,790,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,26.00,26,75.55319149,1,0,0
Magnolia Park - Baku's Revenge,815,rock,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,75.55319149,1,0,0
Bleed From Within - Shrine,1061,metal,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,75.55319149,1,0,0
Lights - PEP,804,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
Autopsy - Morbidity Triumphant,572,metal,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
Mush - Down Tools,851,rock,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
Dream Unending - Song of Salvation,148,metal,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
Benny The Butcher - Tana Talk 4,243,hip hop,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
"Christina Vantzou, Michael Harrison, and John Also Bennett - S/T",391,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
DJ Sabrina The Teenage DJ - Bewitched!,403,electronic,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
DJ Drama & Jeezy - SNOFALL,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
L.S. Dunes - Past Lives,796,rock,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
Pedro The Lion - Havasu,883,rock,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,75.57446809,1,0,0
Walt Disco - Unlearning,511,pop,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
NZE NZE - Adzi Akal,867,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
Oceans of Slumber - Starlight and Ash,309,rock,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
Alex Isley & Jack Dine - Marigold,548,soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
Eslabon Armado - NOSTALGIA,154,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
Issy Wood - My Body Your Choice,278,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
FLO - The Lead,411,r&b,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
Wylderness - Big Plans for a Blue World,516,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
Bennie Maupin & Adam Rudolph - Symphonic Tone Poem...,584,jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,28.00,28,75.59574468,1,0,0
Keely Forsyth - Limbs,781,folk,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
Valleyheart - Heal My Head,1026,rock,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
Sloan - Steady,1053,rock,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,75.59574468,1,0,0
The Chats - Get Fucked,987,rock,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
Muse - Will of the People,850,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
Sarahsson - The Horgenaith,927,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
Coughin' Vicars - Ritual Discipline,646,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
Rayland Baxter - if i were a butterfly,50,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
Kikagaku Moyo - Kumoyo Island,785,rock,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
Ojerime - Bad Influence,310,r&b,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
Omah Lay - Boy Alone,463,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
James Vincent McMorrow - The Less I Knew,530,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
Éliane Radigue & Frédéric Blondy - Occam XXV,683,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,29.00,29,75.61702128,1,0,0
GGGOLDDD - This Shame Should Not Be Mine,1062,electronic,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,75.61702128,1,0,0
Syd - Broken Hearts Club,970,r&b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,30.00,30,75.63829787,1,0,0
Helen Love - This Is My World,728,rock,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,75.63829787,1,0,0
Lowertown - I Love to Lie,445,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,75.63829787,1,0,0
NoSo - Stay Proud of Me,865,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,75.63829787,1,0,0
Meg Mac - Matter of Time,298,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,75.63829787,1,0,0
A Will Away - Stew,544,rock,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,75.63829787,1,0,0
Robert Storey - The Eventual Window,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30.00,30,75.63829787,1,0,0
Blood Incantation - Timewave Zero,1063,electronic,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,75.63829787,1,0,0
Animal Collective - Time Skiffs,560,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Aoife Nessa Frances - Protector,376,folk,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Anitta - Versions of Me,561,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Shovel Dance Collective - The Water is the Shovel of the Shore,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Iceboy Violet - The Vanity Project,275,hip hop,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Duncan Marquiss - Wires Turned Sideways In Time,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Oumou Sangaré - Timbuktu,878,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
TANGERINECAT - Glass,974,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
LÉON - Circles,52,pop,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Les Louanges - Crash,365,r&b,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
IDK - Simple.,420,hip hop,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Orlando Weeks - Hop Up,467,pop,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Chloe Moriondo - SUCKERPUNCH,629,pop,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,75.65957447,1,0,0
Tegh & Adel Poursamadi Ima ایما,975,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,31.00,31,75.65957447,1,0,0
The Utopia Strong - International Treasure,1008,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,32.00,32,75.68085106,1,0,0
Marc O - L'Homme De L'Ombre,819,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,75.68085106,1,0,0
Fujiya & Miyagi - Slight Variations,412,electronic,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,75.68085106,1,0,0
Counterparts - A Eulogy for Those Still Here,395,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,32.00,32,75.68085106,1,0,0
Band of Horses - Things Are Great,53,rock,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,75.68085106,1,0,0
Omar S - Can't Change,464,electronic,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,75.68085106,1,0,0
CANDY - Heaven Is Here,611,metal,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,75.68085106,1,0,0
Devin Townsend - Lightwork,668,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,32.00,32,75.68085106,1,0,0
OHYUNG - imagine naked!,871,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,32.00,32,75.68085106,1,0,0
Heilung - Drif,1064,folk,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,75.68085106,1,0,0
Skillet - Dominion,948,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,33.00,33,75.70212766,1,0,0
Haress - Ghosts,725,folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,33.00,33,75.70212766,1,0,0
Laura Cannell - Antiphony of the Trees,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,33.00,33,75.70212766,1,0,0
Melby - Looks Like A Map,834,rock,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,75.70212766,1,0,0
Smino - Luv 4 Rent,335,r&b,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,75.70212766,1,0,0
Ruby Gill - I'm Gonna Die With This Frown On My Face,330,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,75.70212766,1,0,0
Dazegxd - vKiSS,402,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,75.70212766,1,0,0
Patrick Holland - You're The Boss,470,pop,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,75.70212766,1,0,0
Domestic Terminal - All The Stories Left To Tell,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,33.00,33,75.70212766,1,0,0
NNAMDÏ - Please Have A Seat,863,pop,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,75.70212766,1,0,0
Jake Blount - The New Faith,755,folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,34.00,34,75.72340426,1,0,0
Quavo & Takeoff - Only Built For Infinity Links,319,hip hop,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,75.72340426,1,0,0
Shilpa Ray - Portrait of a Lady,941,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,75.72340426,1,0,0
Larry June - Spaceships on the Blade,178,hip hop,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,75.72340426,1,0,0
Monster Rally - Botanica Dream,455,hip hop,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,75.72340426,1,0,0
Ben Quad - I'm Scared That's All There Is,583,rock,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,75.72340426,1,0,0
Dewa Alit & Gamelan Salukat - Chasing The Phantom,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,34.00,34,75.72340426,1,0,0
Hatis Noit - Aura,727,experimental,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,75.72340426,1,0,0
Osheyack - Intimate Publics,876,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,35.00,35,75.74468085,1,0,0
Leikeli47 - Shape Up,179,hip hop,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,75.74468085,1,0,0
Rema - Rave & Roses,323,electronic,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,75.74468085,1,0,0
Buddy - Superghetto,252,hip hop,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,75.74468085,1,0,0
Rico Nasty - Las Ruinas,324,hip hop,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,75.74468085,1,0,0
Caterina Barbieri - Spirit Exit,620,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,35.00,35,75.74468085,1,0,0
Rat Tally - In My Car,908,pop,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,75.74468085,1,0,0
Richard Dawson & Circle - Henki,912,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,35.00,35,75.74468085,1,0,0
Riot City - Electric Elite,915,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,35.00,35,75.74468085,1,0,0
Decapitated - Cancer Culture,1065,metal,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,75.74468085,1,0,0
The Cool Greenhouse - Sod's Toastie,498,rock,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,75.76595745,1,0,0
Shit & Shine - Phase Corrected,943,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,36.00,36,75.76595745,1,0,0
Doechii - she / her / black bitch,261,hip hop,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,75.76595745,1,0,0
Quelle Chris - DEATHFAME,320,hip hop,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,75.76595745,1,0,0
ThornBird - ThornBird,344,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,75.76595745,1,0,0
Kornél Kovács - Hotel Koko,438,electronic,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,75.76595745,1,0,0
Dermot Kennedy - Sonder,531,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,75.76595745,1,0,0
2nd Grade - Easy Listening,540,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,36.00,36,75.76595745,1,0,0
Babytron - Bin Reaper 3: Old Testament,574,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,36.00,36,75.76595745,1,0,0
The Lord + Petra Haden - Devotion,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,36.00,36,75.76595745,1,0,0
Eve 6 - hyper relevisation,1054,rock,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,75.76595745,1,0,0
Alison Cotton - The Portrait You Painted of Me,550,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
Andy Bell - Flicker,557,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
Xqui - Pieces Part 2,1039,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
Luke Haines & Peter Buck - All the Kids are Super Bummed Out,447,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
Phoebe Green - Lucky Me,474,pop,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
"Regina Spektor - Home, before and after",110,pop,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
Lil Baby - It's Only Me,290,hip hop,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
Hyd - CLEARING,418,pop,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
Afrorack - The Afrorack,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,37.00,37,75.78723404,1,0,0
Inclination - Unaltered Perspective,743,rock,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
Martin Courtney - Magic Sign,825,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
Nancy Mounir - Nozhet El Nofous,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,37.00,37,75.78723404,1,0,0
White Ward - False Light,1033,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,37.00,37,75.78723404,1,0,0
Bruce Springsteen - Only The Strong Survive,601,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
Loop - Sonancy,806,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
