ALBUM,ID,genre,ALBISM,CMPLX,CoS,MOJO,PASTE,QUIETUS,ROUGH,SGUM,TREBLE,UNCUT,UPROXX,WIRE,RS,P4K,BLBRD,CRACK,DBLJ,POPMAT,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Clairo - Immunity,96,Indie Pop,,,45,,,,,,,,28,,,18,22,,,,,,,,,,,,,,,,,,,28.25,7.0625,64.61111111,4,0,0
Bad Bunny - X 100PRE,310,Trap Rap,,,,,,,,,,,,,5,6,31,,,,,,,,,,,,,,,,,,,14.00,4.666666667,64.83333333,3,2,0
Anderson .Paak - Ventura,4,R&B,4,47,31,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,29.75,7.4375,64.94444444,4,1,0
Vanishing Twin - The Age of Immunology,197,Dream Pop,,,,,,6,8,,,,,,,,,,,32,,,,,,,,,,,,,,,,15.33,5.111111111,65.05555556,3,2,0
Charli XCX - Charli,108,Electropop,,,30,,42,,,22,,,32,,,,,,,,,,,,,,,,,,,,,,,31.50,7.875,65.33333333,4,0,0
Sunn O))) - Life Metal,195,Drone Metal,,,,,,10,,,31,,,10,,,,,,,,,,,,,,,,,,,,,,17.00,5.666666667,65.33333333,3,2,0
Underworld - DRIFT Series 1 - Sampler Edition,137,Progressive House,,,,28,,,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,19.00,6.333333333,65.66666667,3,0,0
Loraine James - For You and I,202,Glitch Hop,,,,,,1,,,,,,33,,,,24,,,,,,,,,,,,,,,,,,19.33,6.444444444,65.72222222,3,1,1
Mark Ronson - Late Night Feelings,277,Dance Pop,,,,,,,,,,,13,,,,18,,27,,,,,,,,,,,,,,,,,19.33,6.444444444,65.72222222,3,0,0
Toro y Moi - Outer Peace,77,Alternative R&B,,17,,,,,41,,44,,,,,,,,35,,,,,,,,,,,,,,,,,34.25,8.5625,65.94444444,4,0,0
Lingua Ignota - Caligula,249,Death Industrial,,,,,,,,,34,,,,,,,7,,24,,,,,,,,,,,,,,,,21.67,7.222222222,66.11111111,3,1,0
James Blake - Assume Form,36,Alternative R&B,36,27,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,23.00,7.666666667,66.33333333,3,1,0
Post Malone - Hollywood's Bleeding,54,Pop Rap,,46,,,,,,,,,41,,47,,13,,,,,,,,,,,,,,,,,,,36.75,9.1875,66.5,4,0,0
Polo G - Die a Legend,241,Trap Rap,,,,,,,,20,,,,,20,33,,,,,,,,,,,,,,,,,,,,24.33,8.111111111,66.55555556,3,0,0
YBN Cordae - The Lost Boy,59,Hip Hop,,40,,,,,,,,,10,,,,25,,,,,,,,,,,,,,,,,,,25.00,8.333333333,66.66666667,3,1,0
Beck - Hyperspace,27,Synthpop,27,,,,,,11,,,,,,39,,,,,,,,,,,,,,,,,,,,,25.67,8.555555556,66.77777778,3,0,0
Caroline Polachek - Pang,158,Art Pop,,,,,37,,,,,,,,,,,44,28,45,,,,,,,,,,,,,,,,38.50,9.625,66.88888889,4,0,0
J Balvin & Bad Bunny - Oasis,61,Reggaeton,,38,,,,,,,,,,,33,,10,,,,,,,,,,,,,,,,,,,27.00,9,67,3,1,0
Billy Woods & Kenny Segal - Hiding Places,242,Hip Hop,,,,,,,,9,,,,44,,,,28,,,,,,,,,,,,,,,,,,27.00,9,67,3,1,0
Oso Oso - Basking in the Glow,153,Emo,,,,,44,,,42,,,,,,30,42,,,,,,,,,,,,,,,,,,,39.50,9.875,67.11111111,4,0,0
Sleater-Kinney - The Center Won't Hold,130,Indie Rock,,,,36,45,,,,50,,,,29,,,,,,,,,,,,,,,,,,,,,40.00,10,67.22222222,4,0,0
Thom Yorke - ANIMA,139,Glitch Pop,,,,25,,,,,22,,,,,40,,,,,,,,,,,,,,,,,,,,29.00,9.666666667,67.33333333,3,0,0
DaBaby - Kirk,88,Trap Rap,,5,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,7.00,3.5,67.44444444,2,2,0
Durand Jones & The Indications,129,Soul,,,,42,,,25,,,,,,,,,,,23,,,,,,,,,,,,,,,,30.00,10,67.5,3,0,0
Moor Mother - Analog Fluids of Sonic Black Holes,193,Hip Hop,,,,,,12,,,,,,4,,,,,,,,,,,,,,,,,,,,,,8.00,4,67.55555556,2,1,0
Richard Dawson - 2020,201,Art Rock,,,,,,2,,,,14,,,,,,,,,,,,,,,,,,,,,,,,8.00,4,67.55555556,2,1,0
PUP - Morbid Stuff,118,Pop Punk,,,14,,47,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,30.67,10.22222222,67.61111111,3,0,0
Marika Hackman - Any Human Friend,161,Indie Rock,,,,,32,,20,,,,,,,,,,,40,,,,,,,,,,,,,,,,30.67,10.22222222,67.61111111,3,0,0
Baroness - Gold & Grey,258,Stoner Metal,,,,,,,,,4,,,,,,,,,13,,,,,,,,,,,,,,,,8.50,4.25,67.61111111,2,1,0
Helado Negro - This Is How You Smile,155,Art Pop,,,,,40,,,,48,,,,,7,,,,,,,,,,,,,,,,,,,,31.67,10.55555556,67.77777778,3,1,0
clipping. - There Existed an Addiction to Blood,256,Hip Hop,,,,,,,,,18,,,47,,,,,,31,,,,,,,,,,,,,,,,32.00,10.66666667,67.83333333,3,0,0
Flying Lotus - Flamagra,63,Nu Jazz,,36,24,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.67,10.88888889,67.94444444,3,0,0
Leonard Cohen - Thanks for the Dance,102,Singer-Songwriter,,,39,37,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,32.67,10.88888889,67.94444444,3,0,0
Kano - Hoodies All Summer,353,Grime,,,,,,,,,,,,,,,,2,,21,,,,,,,,,,,,,,,,11.50,5.75,67.94444444,2,1,0
The Raconteurs - Help Us Stranger,138,Blues Rock,,,,26,,,,,,33,,,,,40,,,,,,,,,,,,,,,,,,,33.00,11,68,3,0,0
Miranda Lambert - Wildcard,230,Country,,,,,,,,49,,,,,8,,44,,,,,,,,,,,,,,,,,,,33.67,11.22222222,68.11111111,3,1,0
Beyoncé - HOMECOMING: THE LIVE ALBUM,323,R&B,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,13.00,6.5,68.11111111,2,0,0
Gary Clark Jr. - This Land,11,Blues Rock,11,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,16.50,8.25,68.5,2,0,0
Amyl & The Sniffers - Amyl and The Sniffers,143,Garage Punk,,,,16,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,16.50,8.25,68.5,2,0,0
Barker - Utility,187,Minimal Techno,,,,,,18,,,,,,,,47,,43,,,,,,,,,,,,,,,,,,36.00,12,68.5,3,0,0
Wilco - Ode to Joy,268,Indie Rock,,,,,,,,,,10,,,26,,,,,,,,,,,,,,,,,,,,,18.00,9,68.66666667,2,1,0
