ALBUM,ID,genre,ALBISM,CMPLX,CoS,MOJO,PASTE,QUIETUS,ROUGH,SGUM,TREBLE,UNCUT,UPROXX,WIRE,RS,P4K,BLBRD,CRACK,DBLJ,POPMAT,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
PTU - Am I Who I Am,337,IDM,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,46.00,46,73.38888889,1,0,0
Bobby Alu - Flow,356,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,46.00,46,73.38888889,1,0,0
Will Young - Lexicon,47,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.44444444,1,0,0
Catfish & The Bottlemen - The Balance,94,Indie Rock,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.44444444,1,0,0
BCUC - The Healing,205,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.44444444,1,0,0
Cloud Rat - Pollinator,245,Grindcore,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.44444444,1,0,0
The Cranberries - In The End,48,Pop Rock,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.5,1,0,0
Wand - Laughing Matter,152,Psychedelic Rock,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.5,1,0,0
"Christian Wolff - Preludes, Variations, Studies and Incidental Music",165,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.5,1,0,0
Yuna - Rouge,270,R&B,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.5,1,0,0
Jay Glass Dubs - Epitaph,280,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.5,1,0,0
Kim Petras - Clarity,326,Electropop,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,48.00,48,73.5,1,0,0
Headie One - Music X Road,336,Trap Rap,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,48.00,48,73.5,1,0,0
The Cat Empire - Stolen Diamonds,355,Acid Jazz,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,48.00,48,73.5,1,0,0
The Brand New Heavies - TBNH,49,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Doja Cat - Hot Pink,52,Pop Rap,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Black Belt Eagle Scout - At the Party With My Brown Friends,92,Indie Rock,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Rustin Man - Drift Code,123,Art Rock,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Stephen Mallinder - Um Dada,164,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Cross Record - Cross Record,203,Slowcore,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Blanck Mass - Animated Violence Mild,244,Electro-Industrial,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Stephen Malkmus - Groove Denied,260,Indietronica,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Félicia Atkinson - The Flower and the Vessel,279,Electroacoustic,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Priests - The Seduction of Kansas,315,Post-Punk,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,49.00,49,73.55555556,1,0,0
Kanye West - Jesus is King,51,Hip Hop,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,73.61111111,1,0,0
Greet Death - New Hell,229,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,73.61111111,1,0,0
Shana Cleveland - Night of the Worm Moon,259,Folk,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,73.61111111,1,0,0
Saint Abdullah - Mechanical Flirtations,278,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,50.00,50,73.61111111,1,0,0
Moon Tooth - Crux,314,Progressive Metal,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,50.00,50,73.61111111,1,0,0
Floating Points - Crush,320,IDM,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,50.00,50,73.61111111,1,0,0
Celine Dion - Courage,325,Adult Contemporary,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,50.00,50,73.61111111,1,0,0
Tom Of England - Sex Monk Blues,335,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,50.00,50,73.61111111,1,0,0
Busby Marou - The Great Divide,354,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,50.00,50,73.61111111,1,0,0
