ALBUM,ID,NME,UNCUT,Q,MOJO,AmSong,RoughT,QUIETUS,STONE,PASTE,SGUM,GvsB,FASTER,AVClub,POPMAT,PMA,WIRE,NPR,SPIN,FACT,DRWND,CoS,AMG,SLANT,WEISS,TMT,PFORK,MAGNET,405,CRACK,UTR,COMPLX,FLVRW,WS,NOISEY,P&P,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s,#1s
FKA Twigs - LP1,21,21,4,8,9,,37,11,16,35,9,,7,6,8,6,,25,21,16,15,7,25,7,6,33,2,,1,7,13,10,,7,,1,,12.86,0.4435196195,23.51428571,29,17,2
St. Vincent - St. Vincent,1,1,9,6,5,21,,,4,2,49,,2,3,4,3,,25,26,,,8,25,1,21,,16,10,10,,2,22,5,34,,4,,12.23,0.4704142012,28.37142857,26,17,1
War on Drugs - Lost in the Dream,3,3,1,1,2,2,2,,23,1,2,30,3,4,7,2,,25,1,,9,1,25,4,,,3,4,,,1,,,14,,,,7.08,0.2951388889,28.42857143,24,19,6
Run The Jewels - RTJ2,14,14,,,,,,,8,3,1,,8,2,1,5,8,25,3,,,2,25,17,1,,1,,14,11,12,1,3,3,25,2,,8.13,0.3385416667,29.14285714,24,16,5
Angel Olsen - Burn Your Fire For No Witness,24,24,,,17,7,6,,,11,5,18,9,1,12,23,,25,,24,,3,,,,,15,,,22,5,26,2,38,12,26,,15.05,0.6838842975,37.31428571,22,8,1
Sharon Van Etten - Are We There,31,31,5,7,11,50,40,,20,8,7,16,40,5,22,11,,,,,2,17,,,,,19,,6,17,8,,,26,24,,,17.82,0.8099173554,39.05714286,22,8,0
Aphex Twin - SYRO,4,4,3,10,21,,35,,41,,33,,,,9,9,1,25,23,,48,30,25,11,30,28,4,18,,50,17,,,6,,,,20.91,0.9092627599,39.45714286,23,8,1
Caribou - Our Love,5,5,12,22,12,,12,,39,26,39,,22,,18,37,,,5,,,5,,,4,,10,,13,48,6,9,,4,,3,,16.71,0.7959183673,40.02857143,21,9,0
Sun Kil Moon - Benji,34,34,10,,26,,10,,,23,3,,14,,2,4,,,6,1,14,11,,19,,14,7,,,39,41,,15,41,,,,16.70,0.835,41.68571429,20,8,1
Perfume Genius - Too Bright,26,26,,,,16,,,42,20,23,,19,17,,7,,25,,,37,22,25,,,25,11,23,15,,26,20,1,1,,,,20.05,1.0025,43.6,20,3,2
Swans - To Be Kind,22,22,18,,42,,36,3,,,13,,,18,5,8,3,,17,,10,28,,,,30,6,20,,12,22,,,28,,,,17.95,0.944598338,44.02857143,19,6,0
Flying Lotus - You're Dead!,102,,,,36,,,,11,22,35,12,11,9,3,12,50,,,,,31,25,22,18,,17,,2,,14,,,21,,19,,19.47,1.024930748,44.85714286,19,3,0
Mac DeMarco - Salad Days,2,2,,17,39,19,21,,9,18,,,5,16,,14,,,42,,,,25,5,26,,12,,,,11,,14,,,30,,18.06,1.00308642,45.71428571,18,4,0
Future Islands - Singles,11,11,39,9,22,,33,43,,25,32,,,,24,21,,,7,,21,32,25,,,,22,8,29,30,3,,,,,,,22.95,1.207756233,46.74285714,19,4,0
Spoon - They Want My Soul,72,,30,47,,31,,,29,12,46,,,13,10,13,,25,12,,41,9,,2,,,13,6,,,7,,,,,,,20.35,1.197231834,48.45714286,17,5,0
Freddie Gibbs & Madlib - Pinãta,43,43,,,,,25,17,,,,8,12,,20,16,27,25,25,29,,10,,,5,19,43,,,29,,33,,,,37,,23.50,1.305555556,48.51428571,18,3,0
Lana Del Ray - Ultraviolence,25,25,,19,40,,,,7,,12,10,30,,,10,,,41,,,13,25,3,,,,21,,10,,3,,,,14,,17.69,1.10546875,48.8,16,6,0
Todd Terje - It's Album Time,17,17,,,,,3,,,,30,,,,34,15,,,16,,22,19,,,17,,8,,18,8,43,,13,13,,,,18.40,1.226666667,50.74285714,15,3,0
YG - My Krazy Life,209,,,,,,,,25,,15,,,,,,,25,18,6,,36,,,9,,27,,17,34,,2,,9,20,24,,19.07,1.362244898,52.62857143,14,4,0
Cloud Nothings - Here and Nowhere Else,219,,,,,,,,,47,27,,20,8,46,22,,,22,,11,4,25,,,,34,17,,32,32,,,5,,,,23.47,1.564444444,52.91428571,15,3,0
Grouper - Ruins,188,,,,,,,19,,,,2,,,,36,13,25,,11,24,,,,,2,5,,30,,33,,6,,4,,,16.15,1.24260355,53.14285714,13,5,0
Taylor Swift - 1989,115,,,,,4,,,10,,22,,18,15,15,17,,25,34,,3,,,,,,31,,,,,8,,,21,,,17.15,1.319526627,53.51428571,13,4,0
Against Me! - Transgender Dysphoria Blues,125,,,,,20,,,15,,14,,25,,6,40,,,14,,,6,,,,,,5,,,,,21,15,2,,,15.25,1.270833333,54.51428571,12,4,0
Ariel Pink - pom pom,52,,23,,,,,,,,29,3,21,,,49,47,,30,12,,,,,13,27,9,,,,27,,,18,,,,23.69,1.822485207,55.94285714,13,2,0
Ty Segall - Manipulator,79,,13,39,13,12,19,,,14,31,,,,23,27,,,,,,24,,,,,40,12,,,,,,,,,,22.25,1.854166667,56.91428571,12,0,0
Andy Stott - Faith in Strangers,185,,,,,,,22,,,,11,,20,36,,,,33,4,,48,,,,9,45,,7,21,,,,,14,,,22.50,1.875,57,12,3,0
Real Estate - Atlas,68,,14,35,28,42,45,,,13,19,,,,,43,,,40,,,,25,,,,14,,,,4,40,,,,,,27.85,2.142011834,57.48571429,13,1,0
Shabazz Palaces - Lese Majesty,95,,,49,,,,,,38,,1,,,,18,7,,44,33,,,25,16,14,,35,,,,,,26,,,,,25.50,2.125,58.02857143,12,2,1
Sturgill Simpson - Metamodern Sounds in Country Music,75,,33,,15,1,39,,18,15,44,,,,19,,,25,,,,,25,,,,,,,,,,,19,,,,23.00,2.090909091,58.65714286,11,1,1
Parquet Courts - Sunbathing Animal,35,35,,,,,46,,28,,50,,28,,,35,,,2,,,,,18,33,,24,19,,,21,,,,,,,28.25,2.354166667,58.97142857,12,1,0
Wild Beasts - Present Tense,33,33,50,34,16,,,47,,,,,,,,20,,,,,32,,,,,,,,5,4,,,,42,17,40,,28.33,2.361111111,59,12,2,0
Beck - Morning Phase,53,,22,5,1,46,44,,,7,,,29,14,31,30,,,,,,,,,,,,,,,42,,,,,,,24.64,2.239669421,59.17142857,11,3,1
Jenny Lewis - The Voyager,127,,,,,25,,,17,16,17,,,,14,,,25,4,,,,25,,,,,,,,15,,,,,,,17.56,1.950617284,60.22857143,9,1,0
Bug - Angel & Devils,89,,,32,10,,,5,,,,,,,,,,,,21,44,,25,,8,,,,19,2,,,,,,,,18.44,2.049382716,60.45714286,9,4,0
Alvvays - Alvvays,29,29,,,,,15,,36,5,,27,43,,,,,,,,5,,25,,,,,,,,23,,,43,,,,25.10,2.51,60.74285714,10,2,0
Rich Gang - Tha Tour Part 1,246,,,,,,,,,,21,,,,,,,,,,,,,,28,,33,,,6,,12,,12,1,6,,14.88,1.859375,61.25714286,8,3,1
Azelia Banks - Broke with Expensive Taste,277,,,,,,,,,,,,15,,11,38,,,38,,,,,,11,,25,,,,,15,16,32,,,,22.33,2.481481481,61.45714286,9,0,0
Lykke Li - I Never Learn,226,,,,,,,,,24,,,,,37,,,,,,23,15,,,,,23,,,,19,36,,16,,9,,22.44,2.49382716,61.48571429,9,1,0
Sleaford Mods - Divide and Exit,9,9,25,20,3,,38,,,,,,,,,,6,,,,,,25,,,,,,,25,,,,,,,,18.88,2.359375,62.17142857,8,3,0
Jack White - Lazaretto,20,20,29,23,4,33,20,,40,40,,,47,,,,,,,,,,,,,,,,,,,,,,,,,28.44,3.160493827,63.02857143,9,1,0
Ought - More Than Any Other Day,213,,,,,,,,13,,,,,,,28,,,,,8,41,,,,,39,,28,9,30,,,,,,,24.50,3.0625,63.45714286,8,2,0
Arca - Xen,152,,,,,,26,,,,,,,,,,,,,,,35,25,,,20,18,,,,,43,8,33,,,,26.00,3.25,63.8,8,1,0
East India Youth - Total Strife Forever,59,,43,21,27,,,4,,,,,,,,,,,,,19,,,,,,,,8,,16,,,,,,,19.71,2.816326531,63.94285714,7,2,0
Scott Walker & Sunn O))) - Soused,97,,,,23,,,2,,,,,,,25,,4,,,,,,,,,4,,,,5,,,,,,,,10.50,1.75,63.94285714,6,4,0
Alt-J - This is All Yours,38,38,,2,,,,,27,,,,32,,,,,25,,,,,,14,,,,,,,10,,,,,,,21.14,3.020408163,64.22857143,7,2,0
Popcaan - Where We Come From,378,,,,,,,,,,,,,,,,,25,,7,,,,,,,,,,15,,11,,29,,10,,16.17,2.694444444,64.91428571,6,2,0
New Pornographers - Brill Bruisers,141,,,,,47,,,,17,,,,,27,47,,,10,,,,,,,,,9,,,18,,,,,,,25.00,3.571428571,65,7,2,0
First Aid Kit - Stay Gold,118,,,,,10,47,,,9,,,44,,30,,,,,,,,,15,,,,,,,24,,,,,,,25.57,3.653061224,65.11428571,7,2,0
Protomartyr - Under Color of Official Right,39,39,,,,,43,,,33,,,,7,,,,,24,,,,25,,,,,,,,,,,17,,,,26.86,3.836734694,65.37142857,7,1,0
Miranda Lambert - Platinum,130,,,,,32,,,5,,,,,,,,,25,19,,,,25,,,,,,,,,,,8,,,,19.00,3.166666667,65.4,6,2,0
Pharmakon - Bestial Burden,179,,,,,,,28,,,,,,,,,49,,,,,26,,,,22,28,,26,13,,,,,,,,27.43,3.918367347,65.48571429,7,0,0
Strand of Oaks - Heal,114,,,,,3,,,,39,20,,,11,,31,,,,,,14,,,,,,,,,,,,,,,,19.67,3.277777778,65.51428571,6,1,0
White Lung - Deep Fantasy,248,,,,,,,,,,6,,,19,,42,,,,,,,,,,,32,,,,,,,2,22,,,20.50,3.416666667,65.65714286,6,2,0
EMA - The Future's Void,203,,,,,,,,45,,16,,,,,,,,,,20,,25,,,,,,,,20,,4,,,,,21.67,3.611111111,65.85714286,6,1,0
Ex Hex - Rips,10,10,,,,22,,,,,,,,,50,,,,,,,,25,,,,26,1,,,,,,,,,,22.33,3.722222222,65.97142857,6,2,1
Tune-Yards - Nikki Nack,77,,31,,,,,,,,,,,,,24,,,9,,,,,,,,,15,,,46,,,10,,,,22.50,3.75,66,6,2,0
Damon Albarn - Everyday Robots,13,13,8,3,8,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.80,2.56,66.11428571,5,3,0
Iceage - Plowing Into The Field of Love,16,16,,,,,,,,,,,,,,19,,,,,,,,,,,30,,,3,,,,,3,,,14.20,2.84,66.31428571,5,2,0
Leonard Cohen - Popular Problems,64,,2,43,30,24,,,24,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,25.33,4.222222222,66.48571429,6,1,0
How To Dress Well - What is this Heart?,241,,,,,,,,,,34,,,,,34,,,13,,,,,,,,29,,,,31,,,,,17,,26.33,4.388888889,66.65714286,6,0,0
Liars - Mess,145,,,,,,7,,,,,,,,42,,,,,,36,,25,,,,,,20,,,,29,,,,,26.50,4.416666667,66.68571429,6,1,0
Sylvan Esso - Sylvan Esso,229,,,,,,,,,6,,,,,,,,25,31,,,,,12,,,,,,,,,,,10,,,16.80,3.36,66.68571429,5,2,0
Ryan Adams - Ryan Adams,116,,,,,5,,,,34,,,,,26,,,,28,,,43,,,,,,24,,,,,,,,,,26.67,4.444444444,66.71428571,6,1,0
Ben Frost - A U R O R A,298,,,,,,,,,,,,,,17,33,,,48,,35,,25,,,,50,,,41,,,,,,,,35.57,5.081632653,67.11428571,7,0,0
Tinashe - Aquarius,237,,,,,,,,,,40,24,,,,,,,8,,,,,,47,,36,,,47,,48,,,,,,35.71,5.102040816,67.14285714,7,1,0
Total Control - Typical System,148,,,,,,11,,,43,,,16,,,,,,,,,,,,,,,,,,,,19,,11,,,20.00,4,67.14285714,5,0,0
Warpaint - Warpaint,30,30,,45,,39,23,,,,,,,,,,,,,,,49,,,25,,,,,,,,,,,43,,36.29,5.183673469,67.25714286,7,0,0
Jessie Ware - Tough Love,243,,,,,,,,,,26,22,,,,,,,,,,,,6,,,,,,,,27,,,,25,,21.20,4.24,67.31428571,5,1,0
Owen Pallett - In Conflict,315,,,,,,,,,,,,,,,32,46,,,,31,12,,,,,42,,,,,,18,,,,,30.17,5.027777778,67.31428571,6,0,0
Manic Street Preachers - Futurology,41,41,,4,20,,,8,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,21.40,4.28,67.34285714,5,2,0
Temples - Sun Structures,48,48,,36,32,,1,,,44,,,,,,,,,,,,,25,,,,,,,,,,,,,,,31.00,5.166666667,67.45714286,6,1,1
Hurray for the Riff Raff - Small Town Heroes,62,,19,,,6,,,38,27,,,,,,,,25,,,,,,,,,,,,,,,,,,,,23.00,4.6,67.57142857,5,1,0
Robert Plant - lullaby and... The Ceaseless Roar,69,,6,42,19,,,,,,,,,,,,,25,,,,,25,,,,,,,,,,,,,,,23.40,4.68,67.62857143,5,1,0
Interpol - El Pintor,49,49,,12,,,,,44,,,,,,,,,,,,13,,,,,,,,,,,,,,5,,,24.60,4.92,67.8,5,1,0
Schoolboy Q - Oxymoron,268,,,,,,,,,,,32,,,,,,,50,,,25,,,38,,,,,,,25,,,,29,,33.17,5.527777778,67.82857143,6,0,0
Dean Blunt - Black Metal,339,,,,,,,,,,,,,,,,26,,,25,,,,,,1,,,,1,,,,,,,,13.25,3.3125,67.94285714,4,2,2
D'Angelo & The Vanguard - Black Messiah,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,,23,18,,14.50,3.625,68.08571429,4,1,0
Steve Gunn - Way Out Weather,74,,26,,6,,,,,,,,,,,,12,,,,,,,,,,,14,,,,,,,,,,14.50,3.625,68.08571429,4,1,0
Angaleena Presley - American Middle Class,129,,,,,30,,,,,,,,,,,,25,,,,,25,,,,,,,,,,10,45,,,,27.00,5.4,68.14285714,5,1,0
Royal Blood - Royal Blood,19,19,,16,,,16,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,17.00,4.25,68.37142857,4,0,0
Black Keys - Turn Blue,55,,28,41,34,,,,3,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,29.00,5.8,68.42857143,5,1,0
Isaiah Rashad - Cilvia Demo,295,,,,,,,,,,,,,10,,,,25,,,,,,,7,,,,,,,30,,,,,,18.00,4.5,68.48571429,4,2,0
Tweedy - Sukierae,78,,24,,,27,,29,46,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.40,6.28,68.77142857,5,0,0
Vince Staples - Hell Can Wait,236,,,,,,,,,,41,,,,,,,,,,,,,,10,,20,,,,,13,,,,,,21.00,5.25,68.82857143,4,1,0
Charli XCX - Sucker,215,,,,,,,,6,,,,,,,,,,43,,,,,,,,,,,,,32,9,,,,,22.50,5.625,69,4,2,0
La Roux - Trouble in Paradise,6,6,36,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,23.75,5.9375,69.14285714,4,2,0
Jenny Hval & Susanna - Meshes of Voice,195,,,,,,,10,,,,,,,,,32,,,30,,,,,,24,,,,,,,,,,,,24.00,6,69.17142857,4,1,0
Merchandise - After The End,7,7,32,,,,,,,,10,,,,,,,,,,,50,,,,,,,,,,,,,,,,24.75,6.1875,69.25714286,4,2,0
Kassem Mosse - Workshop 19,172,,,,,,,36,,,,,,,,,,25,,28,,,,,,,,,,14,,,,,,,,25.75,6.4375,69.37142857,4,0,0
Kate Tempest - Everybody Down,18,18,45,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25,6.5625,69.42857143,4,0,0
Mr. Mitch - Parallel Memories,392,,,,,,,,,,,,,,,,,,,2,,,,,16,,,,,,,,,,,15,,11.00,3.666666667,69.51428571,3,1,0
Young Thug & Bloody Jay - Black Portland,208,,,,,,,,31,,,,,,,,,,36,17,,,,,,,,,,,,,24,,,,,27.00,6.75,69.51428571,4,0,0
TV on the Radio - Seeds,284,,,,,,,,,,,,34,,,,,,47,,,,,20,,,,11,,,,,,,,,,28.00,7,69.62857143,4,0,0
Hiss Golden Messenger - Lateness of Dancers,61,,7,,,8,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,12.67,4.222222222,69.65714286,3,2,0
Jungle - Jungle,27,27,,50,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,28.25,7.0625,69.65714286,4,1,0
Little Dragon - Nabuma Rubberband,144,,,,,,5,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,11,,13.67,4.555555556,69.74285714,3,1,0
Ariana Grande - My Everything,515,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,7,28,37,,,,29.50,7.375,69.8,4,1,0
Eagulls - Eagulls,15,15,,,,,,,,,,,,,,,,,,,6,,,,,,,,,23,,,,,,,,14.67,4.888888889,69.82857143,3,1,0
Eric Church - The Outsiders,132,,,,,35,,,21,,18,,,,,,,,45,,,,,,,,,,,,,,,,,,,29.75,7.4375,69.82857143,4,0,0
Valerio Tricoli - Miseri Lares,327,,,,,,,,,,,,,,,,14,,,13,,,,,,18,,,,,,,,,,,,15.00,5,69.85714286,3,0,0
Actress - Ghettoville,324,,,,,,,,,,,,,,,,5,,,,,,,,,23,,,,28,,,,,,,,18.67,6.222222222,70.17142857,3,1,0
Thom Yorke - Tomorrow's Modern Boxes,37,37,44,46,,,,,30,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,41.20,8.24,70.17142857,5,0,0
Grumbling Fur - Preternaturals,93,,,40,,,,6,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,19.33,6.444444444,70.22857143,3,1,0
Beyonce - Beyonce,313,,,,,,,,,,,,,,,1,,,,,,18,,,,40,,,,,,,,,,,,19.67,6.555555556,70.25714286,3,1,1
Morrissey - World Peace is None of Your Business,28,28,48,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.50,8.375,70.25714286,4,0,0
Elbow - The Take Off and Landing of Everything,82,,,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,21.00,7,70.37142857,3,0,0
Joyce Manor - Never Hungover Again,388,,,,,,,,,,,,,,,,,,32,,47,,25,,,,,,,,,,,36,,,,35.00,8.75,70.42857143,4,0,0
Drive-By Truckers - English Oceans,57,,35,,,49,,,,36,,,,,,,,,,,,,,21,,,,,,,,,,,,,,35.25,8.8125,70.45714286,4,0,0
Gruff Rhys - American Interior,47,47,16,30,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.50,8.875,70.48571429,4,0,0
Banks - Goddess,300,,,,,,,,,,,,,,28,,,,,,,,,8,,,,,,,,,,,,36,,24.00,8,70.62857143,3,1,0
Pallbearer - Foundation of Burden,377,,,,,,,,,,,,,,,,,25,27,,,,,,,,,,,,,,,20,,,,24.00,8,70.62857143,3,0,0
Stephen Malkmus & The Jicks - Wig Out at Jagbags,73,,20,,,28,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,24.33,8.111111111,70.65714286,3,0,0
SBTRKT - Wonder Where We Land,455,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,28,,,,,8,,24.67,8.222222222,70.68571429,3,1,0
Kasai All Stars - Beware the Fetish,100,,,,29,,,38,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,25.33,8.444444444,70.74285714,3,1,0
Neneh Cherry - Blank Project,88,,,26,,,22,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,25.67,8.555555556,70.77142857,3,0,0
Sia - 1000 Forms of Fear,322,,,,,,,,,,,,,,,50,,,15,,,,,13,,,,,,,,,,,,,,26.00,8.666666667,70.8,3,0,0
U2 - Songs of Innocence,94,,,44,33,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,8.666666667,70.8,3,1,1
Robert Ellis - The Lights from the Chemical Plant,120,,,,,13,,,,41,,,,,,,,25,,,,,,,,,,,,,,,,,,,,26.33,8.777777778,70.82857143,3,0,0
Eno-Hyde - High Life,299,,,,,,,,,,,,,,21,,,,,,,,,,,,21,,,38,,,,,,,,26.67,8.888888889,70.85714286,3,0,0
Fear of Men - Loom,500,,,,,,,,,,,9,,,,,,,,,,,,,,36,,,,,36,,,,,,,27.00,9,70.88571429,3,1,0
Sam Smith - The Loneliest Hour,83,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,45,,27.33,9.111111111,70.91428571,3,0,0
Pharell Williams - GIRL,99,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,22,,28.00,9.333333333,70.97142857,3,0,0
Mogwai - Rave Tapes,67,,42,31,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,28.33,9.444444444,71,3,0,0
Roseanne Cash - The River & The Thread,71,,15,,,26,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,9.666666667,71.05714286,3,0,0
Leon Vynehall - Music for the Uninvited,257,,,,,,,,,,,15,,,,,,,,32,,,,,,,41,,,,,,,,,,,29.33,9.777777778,71.08571429,3,0,0
Wye Oak - Shriek,249,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,9,,,,,,,6.50,3.25,71.08571429,2,2,0
Fennesz - Becs,60,,38,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,20,,,,,30.00,10,71.14285714,3,0,0
Goat - Commune,36,36,,,,,13,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,30.33,10.11111111,71.17142857,3,0,0
Hookworms - The Hum,42,42,,,,,31,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,30.33,10.11111111,71.17142857,3,0,0
Big K.R.I.T. - Cadillactica,460,,,,,,,,,,,,,,,,,,,,,46,,,24,,,,,,,23,,,,,,31.00,10.33333333,71.22857143,3,0,0
MØ - No Mythologies to Follow,321,,,,,,,,,,,,,,,48,,,,,,33,,,,,,,,,,,,,,12,,31.00,10.33333333,71.22857143,3,0,0
PC Music - PC Music x DISown Radio,393,,,,,,,,,,,,,,,,,,,3,,,,,,15,,,,,,,,,,,,9.00,4.5,71.22857143,2,1,0
ILoveMakonnen - ILoveMakonnen,509,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,9,,,9.50,4.75,71.25714286,2,2,0
Ratking - So It Goes,479,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,18,,,,,,39,,31.33,10.44444444,71.25714286,3,0,0
Hozier - Hozier,136,,,,,40,,,,,,,46,,,,,,,,,,,9,,,,,,,,,,,,,,31.67,10.55555556,71.28571429,3,1,0
Afghan Whigs - Do to the Beast,302,,,,,,,,,,,,,,33,,,,39,,,,,,,,,25,,,,,,,,,,32.33,10.77777778,71.34285714,3,0,0
Travi$ Scott - Days Before Rodeo,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,16,,11.00,5.5,71.34285714,2,1,0
Vince Staples - Shyne Coldchain Vol. 2,296,,,,,,,,,,,,,12,,,,,,,,,,,10,,,,,,,,,,,,,11.00,5.5,71.34285714,2,1,0
Gazelle Twin - UNFLESH,198,,,,,,,1,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,12.00,6,71.4,2,1,1
Lil Herb - Welcome to Fazoland,451,,,,,,,,,,,,,,,,,,,,,20,,,29,50,,,,,,,,,,,,33.00,11,71.4,3,0,0
Future - Honest,204,,,,,,,,43,,,,,,,,,,,,,,,,39,,,,,,,,,46,,47,,43.75,10.9375,71.42857143,4,0,0
Nicki Minaj - The Pinkprint,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,,,,,12.50,6.25,71.42857143,2,0,0
Shamir - Northtown,320,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,30,24,,,,33.33,11.11111111,71.42857143,3,0,0
Kimbra - The Golden Echo,272,,,,,,,,,,,,1,,,,,,,,,,25,,,,,,,,,,,,,,,13.00,6.5,71.45714286,2,1,1
Aaron Freeman - Freeman,439,,,,,,,,,,,,,,,,,,,,,,25,,,,,2,,,,,,,,,,13.50,6.75,71.48571429,2,1,0
Marissa Nadler - July,423,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,23,,,,,13.50,6.75,71.48571429,2,1,0
Trey Songz - Trigga,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,11,,,,14.00,7,71.51428571,2,0,0
Alex G - DSU,459,,,,,,,,,,,,,,,,,,,,,45,,,,,,,24,36,,,,,,,,35.00,11.66666667,71.57142857,3,0,0
Weezer - Everything Will Be Alright in the End,212,,,,,,,,14,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,15.00,7.5,71.57142857,2,0,0
Lotic - Damsel in Distress,397,,,,,,,,,,,,,,,,,,,15,,,,,,16,,,,,,,,,,,,15.50,7.75,71.6,2,0,0
Prince - Art Official Age,206,,,,,,,,34,,,,,,45,,,,,,27,,,,,,,,,,,,,,,,,35.33,11.77777778,71.6,3,0,0
Mr Twin Sister - Mr Twin Sister,269,,,,,,,,,,,33,,,,25,,,,,,,,,,,49,,,,,,,,,,,35.67,11.88888889,71.62857143,3,0,0
Allah-Las - Worship The Sun,51,,47,,,,42,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,12,71.65714286,3,0,0
DJ Dodger Stadium - Friend of Mine,259,,,,,,,,,,,19,,,,,,,,48,,,,,41,,,,,,,,,,,,,36.00,12,71.65714286,3,0,0
Mica Levi - Under the Skin OST,264,,,,,,,,,,,26,,,,,,,,8,,,,,,,,,,,,,,,,,,17.00,8.5,71.68571429,2,1,0
Wildest Dreams - Wildest Dreams,149,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,17.00,8.5,71.68571429,2,0,0
Cozz - Cozz & Effect,485,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,38,,,,27,,36.67,12.22222222,71.71428571,3,0,0
Toumani Diabate & Sidiki Diabate - Toumani & Sidiki,76,,11,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,18.00,9,71.74285714,2,0,0
Jamie T - Carry On The Grudge,8,8,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.50,9.25,71.77142857,2,1,0
Adult Jazz - Gist Is,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,34,,,,,,,19.00,9.5,71.8,2,1,0
Lil Boosie - Life After Deathrow,469,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,16,,,,,,19.00,9.5,71.8,2,0,0
Lorenzo Senni - Superimpositions,175,,,,,,,33,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,19.00,9.5,71.8,2,1,0
Untold - Black Light Spiral,402,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,16,,,,,,,,19.50,9.75,71.82857143,2,0,0
Hold Steady - Teeth Dreams,462,,,,,,,,,,,,,,,,,,,,,,,24,,,,16,,,,,,,,,,20.00,10,71.85714286,2,0,0
Perc - The Power and the Glory,196,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,20.00,10,71.85714286,2,1,0
Clipping - CLPPNG,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,33,,21.00,10.5,71.91428571,2,1,0
Lee Ann Womack - The Way I'm Livin',124,,,,,18,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,21.50,10.75,71.94285714,2,0,0
Metronomy - Love Letters,143,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,21.50,10.75,71.94285714,2,1,0
Mick Jenkins - The Water[s],470,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,20,,21.50,10.75,71.94285714,2,0,0
18+ - Trust,504,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,23,,22.00,11,71.97142857,2,0,0
Millie & Andrea - Drop the Vowels,146,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,22.50,11.25,72,2,1,0
