ALBUM,ID,STONE,SPIN,PASTE,MOJO,QUIETUS,SGUM,Q,UNCUT,NME,GvsB,AmSong,AVClub,P&P,POPMAT,DRWND,MAGNET,NPR,COMPLX,PFORK,eMUSIC,FACT,WIRE,SLANT,TMT,,AVG,WT-AVG,CONS-SCORE,# Lists
Pure Bathing Culture - Moon Tide,174,,,,,,39,,,,12,,,,,,,,,,,,,,,,25.50,12.75,70.875,2
Polica - Shulamith,281,,,,,,,,,,,,,14,,,,,37,,,,,,,,25.50,12.75,70.875,2
Young Thug - 1017 Thug,282,,,,,,,,,,,,,15,,,,,36,,,,,,,,25.50,12.75,70.875,2
Stellar Om Source - Joy One Mile,367,,,,,,,,,,,,,,,,,,,,,6,45,,,,25.50,12.75,70.875,2
Cate Le Bon - Mug Museum,121,,,,37,,,48,,42,,,,,,,,,,,,,,,,,42.33,14.11111111,70.91666667,3
Iceage - You're Nothing,169,,,,,,32,,,21,,,,,,,,,,,,,,,,,26.50,13.25,70.95833333,2
Toro Y Moi - Anything in Return,239,,,,,,,,,,31,,,,,,,,22,,,,,,,,26.50,13.25,70.95833333,2
Bombino - Nomad,29,29,,,,,,,,,,,,,,,,25,,,,,,,,,27.00,13.5,71,2
Future of the Left - How to Stop Your Brain,213,,,,,,,,,45,,,,,,10,,,,,,,,,,,27.50,13.75,71.04166667,2
Grouper - The Man Who Died In His Boat,223,,,,,,,,,,11,,,,,,,,,,,,,,44,,27.50,13.75,71.04166667,2
DJ Koze - Amygdala,319,,,,,,,,,,,,,,,,,25,,32,,,,,,,28.50,14.25,71.125,2
Lil Ugly Mane - Three Sided Tape,368,,,,,,,,,,,,,,,,,,,,,8,,,50,,29.00,14.5,71.16666667,2
2 Chainz - BOATS II #METIME,66,,30,,,,,,,,,,,,,,,,29,,,,,,,,29.50,14.75,71.20833333,2
Autechre - Exai,392,,,,,,,,,,,,,,,,,,,,,46,13,,,,29.50,14.75,71.20833333,2
Charles Bradley - Victim of Love,94,,,44,17,,,,,,,,,,,,,,,,,,,,,,30.50,15.25,71.29166667,2
DJ Mustard - Ketchup,346,,,,,,,,,,,,,,,,,,42,,,19,,,,,30.50,15.25,71.29166667,2
Windhand - Soma,167,,,,,,17,,,,,,,,,,,,,,45,,,,,,31.00,15.5,71.33333333,2
Elton John - The Diving Board,25,25,,,,,,,,,,39,,,,,,,,,,,,,,,32.00,16,71.41666667,2
Suede - Bloodsports,158,,,,,42,,22,,,,,,,,,,,,,,,,,,,32.00,16,71.41666667,2
"James Ferraro - NYC, HELL 3:00 AM",419,,,,,,,,,,,,,,,,,,,,,,47,,17,,32.00,16,71.41666667,2
Livity Sound - Livity Sound,303,,,,,,,,,,,,,,,40,,25,,,,,,,,,32.50,16.25,71.45833333,2
