ALBUM,ID,genre,RTRADE,UNCUT,MOJO,PASTE,CoS,LINE,NPR,QUIETUS,SGUM,UPROXX,BILLBRD,COMPLX,CRACK,MSCOMH,NOISEY,PFORK,POPMAT,WIRE,NME,SPIN,RS,405,ALTERN,BLARE,EARBUD,FACT,GIITV,Q,TMT,TREBLE,VINFAC,GUARD,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Pusha-T - Daytona,31,Hip Hop,31,,12,7,5,,,15,11,19,4,1,19,18,11,17,,18,5,8,7,1,30,3,2,,,19,8,2,,17,,11.60,0.464,25.46875,25,12,2
Mitski - Be The Cowboy,23,Indie Rock,23,,,6,1,1,2,,10,39,11,,7,8,34,1,38,,9,2,14,3,2,,4,,41,16,18,1,,5,,12.33,0.5138888889,28,24,15,4
Janelle Monae - Dirty Computer,53,Art Pop,,6,4,14,2,49,1,11,38,4,5,13,43,3,5,,4,,36,36,13,,,,,,2,8,,37,,3,,15.32,0.6962809917,33.96875,22,12,1
Low - Double Negative,50,Ambient Pop,50,1,19,9,,18,17,8,8,,,,47,1,,8,22,10,,7,,14,,,,49,3,21,7,6,11,9,,15.68,0.7128099174,34.21875,22,12,2
Robyn - Honey,113,Electropop,,,,19,12,17,7,,12,11,12,24,36,2,6,4,11,,11,9,45,,,,33,,14,4,,32,,2,,15.38,0.7324263039,35.875,21,7,0
Kacey Musgraves - Golden Hour,92,Country Pop,,,23,44,9,31,3,,1,2,3,36,,,2,2,2,,,3,2,21,47,5,,,,12,,24,,8,,14.00,0.7,36.875,20,12,1
Cardi B - Invasion of Privacy,137,Trap Rap,,,,,8,6,6,,4,8,2,10,11,,13,19,42,,8,21,1,35,,,45,20,,46,,,,4,,16.26,0.8559556787,40.125,19,10,1
Noname - Room 25,121,Hip Hop,,,,32,18,40,5,,23,6,22,19,,,17,15,9,38,,19,27,5,38,,26,,,,,4,,14,,19.84,1.04432133,42.25,19,5,0
SOPHIE - OIL OF EVERY PEARL'S UN-INSIDES,163,Post-Industrial,,,,,,3,,28,49,,,,1,6,31,18,13,,23,47,,2,,,3,23,25,42,1,,2,11,,18.22,1.012345679,43.0625,18,7,2
Idles - Joy as an Act of Resistance,3,Post-Punk,3,27,6,25,,4,,,,,,,5,7,,,3,,3,,,11,,,,,1,7,,14,,6,,8.71,0.6224489796,46,14,10,1
Snail Mail - Lush,106,Indie Rock,,,,5,22,22,49,,2,33,25,,32,,4,5,,,14,14,26,,12,1,,,,,,,,36,,18.88,1.1796875,46.9375,16,5,1
Christine and the Queens - Chris,56,Synthpop,,9,5,,6,14,21,,,,20,,16,4,,30,17,,10,27,,,,,,,,6,,,,1,,13.29,0.9489795918,48,14,7,1
Parquet Courts - Wide Awake!,40,Art Punk,40,,21,2,,,,,,,,,,17,,,,,17,11,40,39,32,34,1,,15,5,45,17,,23,,22.44,1.40234375,48.71875,16,3,1
US Girls - In a Poem Unlimited,109,Neo-Psychedelia,,,,13,47,,,,26,,,,34,50,30,22,,,,13,23,10,,,14,38,4,26,39,42,49,38,,28.78,1.598765432,49,18,2,0
Kamasi Washington - Heaven and Earth,22,Jazz Fusion,22,21,1,,4,21,18,,34,46,,47,30,,,48,24,,,,,29,,,,,,48,,10,50,7,,27.06,1.591695502,49.53125,17,4,1
Ariana Grande - Sweetener,166,R&B,,,,,,13,22,,3,5,1,4,,,3,11,46,,21,15,5,,,,,,,,,,,20,,13.00,1,49.8125,13,6,1
Tirzah - Devotion,162,Art Pop,,,,,,2,,43,32,49,,,2,,24,13,,21,41,29,,34,,,,13,,,5,,1,33,,22.80,1.52,50.53125,15,4,1
Yves Tumor - Safe in the Hands of Love,18,Post-Industrial,18,,,,,,,38,,,,,4,,,10,12,50,,40,,18,,,7,18,,,2,18,14,22,,19.36,1.382653061,50.65625,14,4,0
Julia Holter - Aviary,85,Progressive Pop,,47,,,25,,,20,,,,,,16,14,24,16,12,,,,,,,31,,40,35,12,12,,19,,23.07,1.647959184,52.28125,14,0,0
Arctic Monkeys - Tranquility Base Hotel & Casino,79,Psychedelic Pop,,40,2,20,,20,,,,3,,,21,23,,31,,,2,,,,,,,,12,1,,,,10,,15.42,1.284722222,52.65625,12,5,1
Kali Uchis - Isolation,138,Neo-Soul,,,,,11,,9,46,28,,16,,39,,46,38,,,7,20,24,,,,20,34,,,,,,21,,25.64,1.831632653,53.40625,14,2,0
Blood Orange - Negro Swan,134,Alternative R&B,,,,49,14,15,,,,,,9,38,,,46,31,,12,5,,15,,,,,,15,,,18,29,,22.77,1.75147929,53.78125,13,2,0
The 1975 - A Brief Inquiry Into Online Relationships,142,Art Pop,,,,,19,8,,,45,9,13,,,,,21,,,1,1,,,11,,,,,3,,,,34,,15.00,1.363636364,54.375,11,5,2
Courtney Barnett - Tell Me How You Really Feel,9,Indie Rock,9,17,8,3,27,44,16,,,,,,,11,,,,,,48,34,,,,,,,14,,,,27,,21.50,1.791666667,54.9375,12,3,0
Tierra Whack - Whack World,181,Pop Rap,,,,,,,10,,,,19,16,9,,1,9,,,,23,37,,,30,,8,,,25,,,,,17.00,1.545454545,55.0625,11,5,1
Travis Scott - ASTROWORLD,194,Trap Rap,,,,,,,35,,,1,7,2,,,7,23,,,19,,6,23,48,,,,,,,,,28,,18.09,1.644628099,55.4375,11,5,1
Let's Eat Grandma - I'm All Ears,11,Art Pop,11,29,20,,,9,,,,,48,,,19,,32,,,,,,,,18,5,,,2,,,,18,,19.18,1.743801653,55.8125,11,3,0
Sons of Kemet - Your Queen is a Reptile,57,Jazz,,10,,,,16,,7,,,,,3,31,,,,1,,,,42,,,,,,,,9,13,12,,14.40,1.44,56.0625,10,5,1
Soccer Mommy - Clean,42,Indie Pop,42,,,4,,30,,,7,14,40,,,,45,27,,,39,,16,,14,32,,,,,,,,,,25.83,2.152777778,56.5625,12,2,0
Rolling Blackouts Coastal Fever - Hope Downs,5,Indie Rock,5,2,3,8,,,,,,,,,,,,,,,18,41,,,,12,,,20,22,,,,30,,16.10,1.61,56.59375,10,4,0
Rosalia - El Mal Querer,164,Art Pop,,,,,,7,8,,21,,17,,,,,6,,,,,31,,,,,3,,,31,,10,31,,16.50,1.65,56.71875,10,5,0
Beach House - 7,159,Dream Pop,,,,,42,,,,5,13,,,,,,20,34,,,,21,,,7,27,,,37,37,3,,,,22.36,2.033057851,56.90625,11,3,0
Young Fathers - Cocoa Sugar,27,Neo-Soul,27,13,18,,37,5,,,40,,,,,,,,1,,24,,,,,,,,7,,,,,16,,18.80,1.88,57.4375,10,3,1
Spiritualized - And Nothing Hurt,46,Neo-Psychedelia,46,4,9,,10,,,,15,24,,,,,43,,29,,40,,,,,,,,26,20,,,,,,24.18,2.198347107,57.53125,11,3,0
Vince Staples - FM!,144,Hip Hop,,,,,21,,36,,14,,,31,,,39,26,,,30,,18,32,,9,,,,,,19,,,,25.00,2.272727273,57.8125,11,1,0
The Internet - Hive Mind,32,Neo-Soul,32,,,,26,25,,,,,24,21,13,,26,39,,,,,,,,,29,,,,,31,,13,,25.36,2.305785124,57.9375,11,0,0
Shame - Songs of Praise,1,Post-Punk,1,,,12,,11,,,,,,,,13,47,,,,6,,,,,,,,13,33,,49,,24,,20.90,2.09,58.09375,10,2,1
boygenius - boygenius EP,136,Indie Folk,,,,,7,35,12,,,23,29,,,,,29,27,,,,,50,8,43,,,,,,34,,,,27.00,2.454545455,58.5,11,2,0
Earl Sweatshirt - Some Rap Songs,249,Hip Hop,,,,,,,,,35,10,,49,,,,7,,,,6,,44,34,6,,15,,,,,25,,,23.10,2.31,58.78125,10,4,0
Mac Miller - Swimming,267,Pop Rap,,,,,,,,,,50,14,11,17,,18,,,,38,,,16,28,2,,,,45,,,,,,23.90,2.39,59.03125,10,1,0
Jon Hopkins - Singularity,252,Microhouse,,,,,,,,,46,27,36,,,45,,16,47,,27,30,,,,,17,,19,,,39,,49,,33.17,2.763888889,59.3125,12,0,0
Father John Misty - God's Favorite Customer,29,Chamber Pop,29,22,,18,,,,,9,7,,,,,,,,,46,,47,,,,37,,,25,,15,,,,25.50,2.55,59.53125,10,2,0
Lucy Dacus - The Historian,105,Singer-Songwriter,,,,1,17,48,4,,13,41,,,,,,,,,,,17,,26,,13,,,,,,,,,20.00,2.222222222,59.53125,9,2,1
Saba - Care for Me,135,Hip Hop,,,,,3,,26,,,12,32,15,,,,,15,,,37,,,,17,,,,,,26,,,,20.33,2.259259259,59.625,9,1,0
Iceage - Boundless,115,Post-Punk,,,,24,,,,,30,,,,12,,21,40,,,,,,27,,33,9,,,,,11,,,,23.00,2.555555556,60.375,9,1,0
Deafheaven - Ordinary Corrupt Human Love,149,Blackgaze,,,,,30,,,,,,,,,,,28,7,,22,44,,37,,,18,,,,,5,,41,,25.78,2.864197531,61.15625,9,2,0
Kurt Vile - Bottle It In,66,Folk Rock,,23,13,,,45,,,,18,,,,22,,,,,,,9,,,,,,,30,,23,,,,22.88,2.859375,61.96875,8,1,0
serpentwithfeet - soil,187,Alternative R&B,,,,,,,24,,,,,,,46,,,5,,,43,,,,,36,12,,,20,,33,45,,29.33,3.259259259,62.15625,9,1,0
Amen Dunes - Freedom,108,Neo-Psychedelia,,,,11,,29,,,,29,,,,35,,14,,,31,4,,,,,,,,,48,,,,,25.13,3.140625,62.53125,8,1,0
Neko Case - Hell-On,59,Singer-Songwriter,,12,,31,,39,,,,,,,,,,,25,,,,33,,,,34,,9,28,,,,,,26.38,3.296875,62.84375,8,1,0
Oneohtrix Point Never - Age Of,156,Electronic,,,,,39,38,,,43,26,,,37,,,,,15,,10,,4,,,,,,,,,,,,26.50,3.3125,62.875,8,2,0
Kids See Ghosts - KIDS SEE GHOSTS,170,Hip Hop,,,,,,27,,,,,30,14,,,,,,,15,,,,,15,6,,,40,,,,,,21.00,3,63.1875,7,1,0
"Hop Along - Bark Your Head Off, Dog",107,Indie Rock,,,,10,,,11,,18,,,,,,,,,,,,19,,1,,32,,,,,,,,,15.17,2.527777778,63.78125,6,2,1
JPEGMAFIA - Veteran,339,Hip Hop,,,,,,,,,,,,,,,41,37,,5,,24,,7,,40,,,,,47,41,,,,30.25,3.78125,63.8125,8,2,0
Playboy Carti - Die Lit,296,Trap Rap,,,,,,,,,,,,45,6,,23,25,,,,18,,,,,,35,,,16,,,,,24.00,3.428571429,63.84375,7,1,0
Brockhampton - iridescence,140,Hip Hop,,,,,15,12,,,16,,35,,41,,,,39,,16,,,,,,,,,,,,,,,24.86,3.551020408,64.03125,7,0,0
DJ Koze - Knock Knock,123,Deep House,,,,34,,,,,,22,,,,,9,3,,,,17,,,,,,,,18,,,,,,17.17,2.861111111,64.15625,6,2,0
Khruangbin - Con Todo El Mundo,4,Psychedelic Rock,4,,30,,,,25,,,,,,,,,,,,,,,22,,,,,,,,46,28,47,,28.86,4.12244898,64.90625,7,1,0
Troye Sivan - Bloom,145,Electropop,,,,,23,26,,,,16,28,,,,,,,,29,,,,,,48,,,,,,,37,,29.57,4.224489796,65.0625,7,0,0
Skee Mask - Compro,230,Ambient Techno,,,,,,,,35,,,,,10,,,47,,,,,,,,,25,42,,,,,7,42,,29.71,4.244897959,65.09375,7,2,0
Daughters - You Won't Get What You Want,155,Noise Rock,,,,,36,,,13,,,,,35,42,,,26,,,,,24,,,,,,,,45,,,,31.57,4.510204082,65.5,7,0,0
Mount Eerie - Now Only,343,Singer-Songwriter,,,,,,,,,,,,,,,50,,,,,,,25,,41,12,,,,13,13,,,,25.67,4.277777778,65.75,6,0,0
Anna Calvi - Hunter,37,Art Rock,37,45,31,,,,,,,,,,,14,,,,,,,,,,,,,21,10,,,,,,26.33,4.388888889,65.875,6,1,0
The Beths - Future Me Hates Me,119,Indie Rock,,,,29,,,41,,,,,,,,,,,,,,20,,23,44,,,6,,,,,,,27.17,4.527777778,66.03125,6,1,0
Elvis Costello & The Imposters - Look Now,61,Pop Rock,,15,26,23,43,,,,,,,,,,,,,,,,35,,,,,,,24,,,,,,27.67,4.611111111,66.125,6,0,0
Cat Power - Wanderer,80,Singer-Songwriter,,41,25,,50,,,,,31,,,,43,,45,,,,,,,,,,,,39,,,,48,,40.25,5.03125,66.3125,8,0,0
Stephen Malkmus and the Jicks - Sparkle Hard,76,Indie Rock,,37,39,,44,,,,,,,,,,,,,,,26,36,,,,,,,32,,40,,,,36.29,5.183673469,66.53125,7,0,0
Camp Cope - How to Socialise & Make Friends,118,Indie Rock,,,,28,,,,,41,,,,,,,44,,,,,,,7,42,19,,,,,,,,,30.17,5.027777778,66.59375,6,1,0
Tim Hecker - Konoyo,306,Ambient,,,,,,,,,,,,,26,,,,28,,,,,6,,,,,,,21,29,,,,22.00,4.4,66.71875,5,1,0
Eartheater - IRISIRI,312,Post-Industrial,,,,,,,,,,,,,45,,,,36,19,,,,,,,23,,,,24,,45,,,32.00,5.333333333,66.9375,6,0,0
V/A - Black Panther: The Album,141,Hip Hop,,,,,16,,,,,15,6,8,,,,,,,,,,,,,,,,,,,,,,11.25,2.8125,67.03125,4,2,0
Gazelle Twin - Pastoral,72,Post-Industrial,,31,,,,,,1,,,,,,9,,,,44,,,,,,,,,,,,,37,,,24.40,4.88,67.09375,5,2,1
Dream Wife - Dream Wife,38,Alternative Rock,38,,,,,36,,,,,,,,28,,,,,13,,,,,,,,18,,,,,,,26.60,5.32,67.4375,5,0,0
Teyana Taylor - K.T.S.E.,246,R&B,,,,,,,,,29,,42,37,27,,,,,,,,,,,,,40,,,36,,,,,35.17,5.861111111,67.53125,6,0,0
Lonnie Holley - MITH,125,Soul,,,,36,,,,,,,,,,,,,23,,,42,,,,,,,,,,,3,35,,27.80,5.56,67.625,5,1,0
Ezra Furman - Transangelic Exodus,62,Indie Rock,,16,,,,,,,,,,,,10,,,,,28,,,,,,,,11,,,,,,,16.25,4.0625,67.65625,4,1,0
Suede - The Blue Hour,95,Alternative Rock,,,35,,,,,4,,,,,,5,,,,,,,,,,,,,23,,,,,,,16.75,4.1875,67.71875,4,2,0
Fucked Up - Dose Your Dreams,245,Art Punk,,,,,,,,,25,,,,,,,,,,,,,,,11,24,,36,,,47,,,,28.60,5.72,67.75,5,0,0
Ty Segall - Freedom's Goblin,51,Garage Rock,,3,38,,46,,,,,,,,,,,,,,,,,,,,40,,,17,,,,,,28.80,5.76,67.78125,5,1,0
Rico Nasty - Nasty,255,Trap Rap,,,,,,,,,50,,,,,,37,36,,,,16,,,,,,5,,,,,,,,28.80,5.76,67.78125,5,1,0
The Carters - Everything Is Love,206,R&B,,,,,,,50,,,36,10,7,,,,,,,,,48,,,,,,,,,,,,,30.20,6.04,68,5,2,0
Pistol Annies - Interstate Gospel,182,Country,,,,,,,13,,,,37,,,,,,37,,,,4,,,,,,,,,,,,,22.75,5.6875,68.46875,4,1,0
Lotic - Power,354,Electronic,,,,,,,,,,,,,,,,,8,,,,,,,,,1,,,,,8,,,5.67,1.888888889,68.5,3,3,1
Vessel - Queen of Golden Dogs,363,Electronic,,,,,,,,,,,,,,,,,21,36,,,,30,,,,9,,,,,,,,24.00,6,68.625,4,1,0
Gruff Rhys - Babelsberg,54,Indie Pop,,7,32,,,,,,,,,,,,,,,,,,,,,,,,45,13,,,,,,24.25,6.0625,68.65625,4,1,0
Jorja Smith - Lost & Found,167,Neo-Soul,,,,,,19,,,,,,,25,,,,40,,,,,,,13,,,,,,,,,,24.25,6.0625,68.65625,4,0,0
J Balvin - Vibras,193,Latin Pop,,,,,,,34,,,,9,39,,,,,,,,,15,,,,,,,,,,,,,24.25,6.0625,68.65625,4,1,0
Tracey Thorn - Record,82,Indie Pop,,43,15,,,,,,,,,,,,,,,,,46,,,,,,,,23,,,,46,,34.60,6.92,68.6875,5,0,0
Gwenno - Le Kov,34,Indietronica,34,32,29,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,39,,35.20,7.04,68.78125,5,0,0
Grouper - Grid of Points,219,Ambient Pop,,,,,,,,23,,30,,,,,,,,40,,,,,,,,,,,9,,,,,25.50,6.375,68.8125,4,1,0
Drake - Scorpion,263,Pop Rap,,,,,,,,,,43,15,34,,,,,,,,,10,,,,,,,,,,,,,25.50,6.375,68.8125,4,1,0
Jeff Rosenstock - POST-,153,Power Pop,,,,,34,,,,,,,,,,,,50,,,,,,13,,8,,,,,,,,,26.25,6.5625,68.90625,4,1,0
Camila Cabello - Camila,256,R&B,,,,,,,,,,20,8,,,,,,,,,,3,,,,,,,,,,,,,10.33,3.444444444,68.9375,3,2,0
Yo La Tengo - There's a Riot Going On,52,Ambient Pop,,5,44,50,,,,,,,,,,,,,,41,,,,,,,,,,,,48,,,,37.60,7.52,69.15625,5,1,0
The Breeders - All Nerve,63,Alternative Rock,,18,10,,,,,,,,,,,44,,,,,,,,,,,,,44,,,,,,,29.00,7.25,69.25,4,1,0
Adrianne Lenker - abysskiss,35,Indie Folk,35,,,41,,,,,27,,,,,,,42,,,,,,,,,,,,,,50,,,,39.00,7.8,69.375,5,0,0
Florence + The Machine - High as Hope,271,Art Pop,,,,,,,,,,,31,,,,,,,,,,28,,,31,,,,31,,,,,,30.25,7.5625,69.40625,4,0,0
Interpol - Marauder,21,Post-Punk,21,,,,,,,,,44,,,,,,,,,,,,,,46,,,,11,,,,,,30.50,7.625,69.4375,4,0,0
Paul Weller - True Meanings,67,Folk Rock,,24,14,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,15.67,5.222222222,69.4375,3,1,0
MGMT - Little Dark Age,112,Synthpop,,,,17,,,,,39,,,,,,,,,,,,,,,23,,,43,,,,,,,30.50,7.625,69.4375,4,0,0
Mariah Carey - Caution,273,R&B,,,,,,,,,,,39,48,49,,,,,,,12,,,,,,50,,,,,,,,39.60,7.92,69.46875,5,0,0
Laurel Halo - Raw Silk Uncut Wood,386,Ambient,,,,,,,,,,,,,,,,,,33,,,,,,,,39,,,33,,20,,,31.25,7.8125,69.53125,4,0,0
Tomberlin - At Weddings,169,Singer-Songwriter,,,,,,24,,,20,,,,,,,,,,,,,49,,,35,,,,,,,,,32.00,8,69.625,4,0,0
"Brandi Carlile - By The Way, I Forgive You",184,Singer-Songwriter,,,,,,,19,,,,,,,,22,,,,,,12,,,,,,,,,,,,,17.67,5.888888889,69.625,3,0,0
Wild Pink - Yolk in the Fur,244,Indie Pop,,,,,,,,,24,35,,,,,,,,,,,,,24,45,,,,,,,,,,32.00,8,69.625,4,0,0
Nipsey Hussle - Victory Lap,257,Hip Hop,,,,,,,,,,21,27,6,,,,,,,,,,,,,,,,,,,,,,18.00,6,69.65625,3,1,0
Sunflower Bean - Twentytwo in Blue,111,Pop Rock,,,,16,,,,,,,,,,,,,,,4,,,,,36,,,,,,,,,,18.67,6.222222222,69.71875,3,1,0
cupcaKKe - Ephorize,344,Trap Rap,,,,,,,,,,,,,,,,12,,,,49,50,,,,,22,,,,,,,,33.25,8.3125,69.78125,4,0,0
Amnesia Scanner - Another Life,305,Electronic,,,,,,,,,,,,,24,,,,,,,,,,,,,16,,,19,,,,,19.67,6.555555556,69.8125,3,0,0
Bruce - Sonder Somatic,237,UK Bass,,,,,,,,47,,,,,42,,,,,,,,,,,,,36,,,,,12,,,34.25,8.5625,69.90625,4,0,0
Foxing - Nearer My God,260,Indie Rock,,,,,,,,,,37,,,,,,,,,,,,,3,24,,,,,,,,,,21.33,7.111111111,69.96875,3,1,0
Neneh Cherry - Broken Politics,319,Art Pop,,,,,,,,,,,,,,32,,34,,,,,,,,,,,,,,,29,44,,34.75,8.6875,69.96875,4,0,0
Eleanor Friedberger - Rebound,78,Indie Pop,,39,28,,,,,,,,,,,,,,,,,,,,,,,,,36,,,38,,,35.25,8.8125,70.03125,4,0,0
Eli Keszler - Stadium,370,Electroacoustic,,,,,,,,,,,,,,,,,,13,,,,,,,,44,,,11,,,,,22.67,7.555555556,70.09375,3,0,0
Park Jiha - Communion,393,Modern Classical,,,,,,,,,,,,,,,,,,48,,,,12,,,,,,,,,9,,,23.00,7.666666667,70.125,3,1,0
Bodega - Endless Scroll,12,Art Punk,12,,,,,,,,,,,,,,,,,,,,,,,,49,,10,,,,,,,23.67,7.888888889,70.1875,3,1,0
Ought - Room Inside the World,117,Post-Punk,,,,27,,,,,,,,,,38,,,,,,,,,,,43,,38,,,,,,,36.50,9.125,70.1875,4,0,0
A.A.L. (Against All Logic) - 2012-2017,346,Deep House,,,,,,,,,,,,,,,,35,,,,,,9,,,,,,,,27,,,,23.67,7.888888889,70.1875,3,1,0
Kanye West - ye,398,Hip Hop,,,,,,,,,,,,,,,,,,,34,,,,,14,,,,,23,,,,,23.67,7.888888889,70.1875,3,0,0
Lykke Li - so sad so sexy,161,Alternative R&B,,,,,48,,,,,38,,,,,,,,,,,,,,21,,,,41,,,,,,37.00,9.25,70.25,4,0,0
Nao - Saturn,168,Alternative R&B,,,,,,23,,,,,,,,,,,,,,25,,,,,,,,,,,,26,,24.67,8.222222222,70.28125,3,0,0
Culture Abuse - Bay Dream,336,Alternative Rock,,,,,,,,,,,,,,,36,,,,,,,,35,4,,,,,,,,,,25.00,8.333333333,70.3125,3,1,0
John Prine - The Tree of Forgiveness,69,Americana,,26,,,,,28,,,,,,,,,,,,,,22,,,,,,,,,,,,,25.33,8.444444444,70.34375,3,0,0
Haley Heynderickx - I Need to Start a Garden,120,Singer-Songwriter,,,,30,,,,,,25,,,,,,,,,,,,,,,,,22,,,,,,,25.67,8.555555556,70.375,3,0,0
Sleep - The Sciences,96,Stoner Metal,,,36,,,,,,,,,,,,,43,,,,,46,,,,,,,,,28,,,,38.25,9.5625,70.40625,4,0,0
J. Cole - KOD,275,Hip Hop,,,,,,,,,,,43,3,,,,,,,32,,,,,,,,,,,,,,,26.00,8.666666667,70.40625,3,1,0
Olafur Arnalds - re:member,45,Modern Classical,45,,,,,37,32,,,,,,,40,,,,,,,,,,,,,,,,,,,,38.50,9.625,70.4375,4,0,0
Lil Wayne - Tha Carter V,268,Trap Rap,,,,,,,,,,,18,18,,,,,,,,,43,,,,,,,,,,,,,26.33,8.777777778,70.4375,3,0,0
Caroline Rose - Loner,25,Indie Rock,25,,,43,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,26.67,8.888888889,70.46875,3,0,0
03 Greedo - God Level,289,Trap Rap,,,,,,,,,,,,35,,,15,,,,,31,,,,,,,,,,,,,,27.00,9,70.5,3,0,0
Superorganism - Superorganism,20,Glitch Pop,20,,,,49,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,27.67,9.222222222,70.5625,3,0,0
Fatoumata Diawara - Fenfo (Something To Say),24,African Folk,24,,11,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,28.00,9.333333333,70.59375,3,0,0
Paul McCartney - Egypt Station,93,Pop Rock,,,27,,,,,,,,46,,,,,,,,,,11,,,,,,,,,,,,,28.00,9.333333333,70.59375,3,0,0
Deena Abdelwahed - Khonnar,240,UK Bass,,,,,,,,50,,,,,28,,,,,,,,,,,,,,,,,,6,,,28.00,9.333333333,70.59375,3,1,0
Thou - Magus,200,Sludge Metal,,,,,,,43,,,,,,,,12,,,,,,,,,,,,,,,30,,,,28.33,9.444444444,70.625,3,0,0
J.I.D - DiCaprio 2,205,Hip Hop,,,,,,,48,,,17,,20,,,,,,,,,,,,,,,,,,,,,,28.33,9.444444444,70.625,3,0,0
Marie Davidson - Working Class Woman,213,Tech House,,,,,,,,14,,,,,,,,,,,,,,28,,,,43,,,,,,,,28.33,9.444444444,70.625,3,0,0
Goat Girl - Goat Girl,7,Post-Punk,7,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,50,,29.00,9.666666667,70.6875,3,1,0
Ryley Walker - Deafman Glance,83,Psychedelic Folk,,44,7,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,29.00,9.666666667,70.6875,3,1,0
Field Music - Open Here,91,Progressive Pop,,,22,,,,,,,,,,,15,,,,,,,,,,,,,50,,,,,,,29.00,9.666666667,70.6875,3,0,0
YOB - Our Raw Heart,139,Doom Metal,,,,,13,,,,,,,,,,49,,,,,,,,,,,,,,,25,,,,29.00,9.666666667,70.6875,3,0,0
Courtney Marie Andrews - May Your Kindness Remain,68,Singer-Songwriter,,25,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,29.67,9.888888889,70.75,3,0,0
Pendant - Make Me Know You Sweet,475,Ambient,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,14,,,,,8.00,4,70.8125,2,1,0
Ben LaMar Gay - Downtown Castles Can Never Block The Sun,365,Jazz,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,16,,,9.50,4.75,70.90625,2,1,0
Phosphorescent - C'est La Vie,44,Americana,44,,48,46,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,42.50,10.625,70.9375,4,0,0
Jeremih & Ty Dolla $ign - Mih-Ty,287,R&B,,,,,,,,,,,,32,,,,41,,,,22,,,,,,,,,,,,,,31.67,10.55555556,70.9375,3,0,0
Flasher - Constant Image,132,Post-Punk,,,,47,,,,,6,,,,,,,,,,,,,,,,,,,,,43,,,,32.00,10.66666667,70.96875,3,1,0
6LACK - East Atlanta Love Letter,172,Alternative R&B,,,,,,32,,,,,,25,,,,,,,,,,,,39,,,,,,,,,,32.00,10.66666667,70.96875,3,0,0
Jay Rock - Redemption,281,Hip Hop,,,,,,,,,,,,5,,,,,,,,,,,,16,,,,,,,,,,10.50,5.25,70.96875,2,1,0
Prince - Piano & A Microphone 1983,99,Singer-Songwriter,,,42,,,,,,,,33,,22,,,,,,,,,,,,,,,,,,,,,32.33,10.77777778,71,3,0,0
DJ Taye - Still Trippin',300,Footwork,,,,,,,,,,,,,14,,,,,,,50,,,,,,,,,,,34,,,32.67,10.88888889,71.03125,3,0,0
Superchunk - What a Time to be Alive,116,Indie Rock,,,,26,,,,,,,,,,,,,,,,,29,,,,44,,,,,,,,,33.00,11,71.0625,3,0,0
Post Malone - Beerbongs & Bentleys,261,Alternative R&B,,,,,,,,,,40,38,23,,,,,,,,,,,,,,,,,,,,,,33.67,11.22222222,71.125,3,0,0
Kamaal Williams - The Return,304,Jazz Fusion,,,,,,,,,,,,,23,,,,,35,,,,,,,,,,,,,43,,,33.67,11.22222222,71.125,3,0,0
Charlie Puth - Voicenotes,262,Dance Pop,,,,,,,,,,42,26,,,,,,,,,34,,,,,,,,,,,,,,34.00,11.33333333,71.15625,3,0,0
Senyawa - Sujud,218,Experimental,,,,,,,,22,,,,,,,,,,7,,,,,,,,,,,,,,,,14.50,7.25,71.21875,2,1,0
Lady Gaga & Bradley Cooper - A Star is Born,269,Country Rock,,,,,,,,,,,21,,,,,,,,,,8,,,,,,,,,,,,,14.50,7.25,71.21875,2,1,0
The Wonder Years - Sister Cities,440,Alternative Rock,,,,,,,,,,,,,,,,,,,,,,,21,8,,,,,,,,,,14.50,7.25,71.21875,2,1,0
Rae Sremmurd - SR3MM,280,Pop Rap,,,,,,,,,,,50,30,,,,,,,,,25,,,,,,,,,,,,,35.00,11.66666667,71.25,3,0,0
Kathryn Joseph - For When I Wake The Want Is,84,Indie Folk,,46,,,,,,,,,,,,,,,,,,,,36,,,,,24,,,,,,,35.33,11.77777778,71.28125,3,0,0
Gabor Lazar - Unfold,220,UK Bass,,,,,,,,24,,,,,,,,,,,,,,,,,,7,,,,,,,,15.50,7.75,71.28125,2,1,0
Oh Sees - Smote Reverser,10,Psychedelic Rock,10,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,8.5,71.375,2,1,0
Blawan - Wet Will Always Dry,216,Industrial Techno,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,15,,,17.00,8.5,71.375,2,0,0
Aisha Devi - DNA Feelings,477,Post-Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,30,,,18.00,9,71.4375,2,1,0
