ALBUM,ID,genre,RTRADE,UNCUT,MOJO,PASTE,CoS,LINE,NPR,QUIETUS,SGUM,UPROXX,BILLBRD,COMPLX,CRACK,MSCOMH,NOISEY,PFORK,POPMAT,WIRE,NME,SPIN,RS,405,ALTERN,BLARE,EARBUD,FACT,GIITV,Q,TMT,TREBLE,VINFAC,GUARD,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Roc Marciano & DJ Muggs - KAOS,288,Hip Hop,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.6875,1,0,0
Key! & Kenny Beats - 777,309,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,33.00,33,73.6875,1,0,0
Daphne & Celeste - Daphne & Celeste Save the World,320,Synthpop,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,33.00,33,73.6875,1,0,0
ASUEL - Asobi,422,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,33.00,33,73.6875,1,0,0
Mom Jeans - Puppy Love,446,Emo,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,33.00,33,73.6875,1,0,0
Martyn Bootyspoon - Silk Eternity,492,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,33.00,33,73.6875,1,0,0
The Common Cold - Shut Up! Yo Liberals!,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,33.00,33,73.6875,1,0,0
BAMBARA - Shadow on Everything,540,Post-Punk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,33.00,33,73.6875,1,0,0
Mouse on Mars - Dimensional People,229,Experimental,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.71875,1,0,0
Leon Bridges - Good Thing,259,Soul,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.71875,1,0,0
Twenty One Pilots - Trench,272,Indie Pop,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.71875,1,0,0
The Lovely Eggs - This is Eggland,321,Noise Pop,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,34.00,34,73.71875,1,0,0
Cucina Povera - Hilja,387,Ambient Pop,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,34.00,34,73.71875,1,0,0
tUnE-yArDs - I can feel you creep into my private life,508,Art Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,34.00,34,73.71875,1,0,0
Colin Stetson - Hereditary,154,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.75,1,0,0
Vile Creature - Cast of Static and Smoke,335,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,35.00,35,73.75,1,0,0
Ital Tek - Bodied,353,IDM,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,35.00,35,73.75,1,0,0
Drakeo The Ruler - Cold Devil,408,Trap Rap,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,35.00,35,73.75,1,0,0
Laura Jean - Devotion,509,Synthpop,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,35.00,35,73.75,1,0,0
Seth Graham - Gasp,530,Sound Collage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,35.00,35,73.75,1,0,0
Brigid Mae Power - The Two Worlds,554,Singer-Songwriter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,35.00,35,73.75,1,0,0
Donovan Wolfington - Waves,447,Indie Rock,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,36.00,36,73.78125,1,0,0
Shopping - The Official Body,541,Post-Punk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,36.00,36,73.78125,1,0,0
The Goon Squad - We're Not Talking,97,Indie Pop,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.8125,1,0,0
Preoccupations - New Material,126,Post-Punk,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.8125,1,0,0
Andris Nelsons - Shostakovich: Symphonies Nos. 4 & 11,195,Classical,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.8125,1,0,0
Laura Cannell & Andre Bosman - Reckonings,231,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.8125,1,0,0
Embassador Dulgoon - Hydrorio Remnants,388,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,37.00,37,73.8125,1,0,0
Parcels - Parcels,400,Nu-Disco,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,37.00,37,73.8125,1,0,0
H. Takahashi - Low Power,493,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,37.00,37,73.8125,1,0,0
Calexico - The Thread That Keeps Us,77,Americana,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.84375,1,0,0
Richard Swift - The Hex,127,Indie Rock,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.84375,1,0,0
Ambrose Akinmusire - Origami Harvest,196,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.84375,1,0,0
Eric Church - Desperate Man,412,Country,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,38.00,38,73.84375,1,0,0
BoA - WOMAN,423,K-Pop,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,38.00,38,73.84375,1,0,0
Son Lux - Brighter Wounds,469,Art Pop,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,38.00,38,73.84375,1,0,0
Roc Marciano - Behold A Dark Horse,531,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,38.00,38,73.84375,1,0,0
Voivod - The Wake,542,Progressive Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,38.00,38,73.84375,1,0,0
Alejandro Escovedo - The Crossing,128,Alt-Country,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.875,1,0,0
Ammar 808 - Mahgreb United,197,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.875,1,0,0
Szun Waves - New Hymn to Freedom,232,Jazz,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.875,1,0,0
Matthew Dear - Bunny,323,Synthpop,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,39.00,39,73.875,1,0,0
Meshell Ndegeocello - Ventriloquism,409,Neo-Soul,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,39.00,39,73.875,1,0,0
Awakebutstillinbed - what people call low self-esteem is really...,448,Emo,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,39.00,39,73.875,1,0,0
"The Body - I Have Fought Against It, But I Can't Any Longer",470,Death Industrial,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,39.00,39,73.875,1,0,0
The Rising - Moving On,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,39.00,39,73.875,1,0,0
Tentenko - Tentenko,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,39.00,39,73.875,1,0,0
Maisha - There is a Place,98,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.90625,1,0,0
Gnod - Chapel Perilous,233,Noise Rock,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.90625,1,0,0
Metro Boomin - Not All Heroes,291,Trap Rap,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.90625,1,0,0
03 Greedo - The Wolf of Grape Street,310,Trap Rap,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,40.00,40,73.90625,1,0,0
Svalbard - It's Hard to Have Hope,338,Post-Hardcore,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,40.00,40,73.90625,1,0,0
Body Void - I Live Inside a Burning House,424,Sludge Metal,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,40.00,40,73.90625,1,0,0
Perfume - Future Pop,532,Electropop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,40.00,40,73.90625,1,0,0
BCUC - Emakhosini,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,40.00,40,73.90625,1,0,0
Joey Purp - QUARTERTHING,158,Hip Hop,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.9375,1,0,0
AURORA - Infections of a Different Kind Step 1,175,Art Pop,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.9375,1,0,0
Blocks & Escher - Something Blue,234,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.9375,1,0,0
Popcaan - Forever,292,Dancehall,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.9375,1,0,0
Amanda Shires - To The Sunset,414,Americana,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,41.00,41,73.9375,1,0,0
Graduating Life - Grad Life,450,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,41.00,41,73.9375,1,0,0
Ava Luna - Moon 2,471,Art Pop,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,41.00,41,73.9375,1,0,0
Cecilia - Adoration,494,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,41.00,41,73.9375,1,0,0
Delroy Edwards - Rio Grande,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,41.00,41,73.9375,1,0,0
Arp - Zebra,557,Ambient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,41.00,41,73.9375,1,0,0
Bettye LaVette - Things Have Changed,130,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.96875,1,0,0
How to Dress Well - The Anteroom,176,Art Pop,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.96875,1,0,0
Myra Melford's Snowy Egret - The Other Side of Air,199,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.96875,1,0,0
Holy Fawn - Death Spells,251,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.96875,1,0,0
Westside Gunn - Supreme Blientele,293,Hip Hop,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.96875,1,0,0
Frankie Cosmos - Vessel,340,Indie Pop,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,42.00,42,73.96875,1,0,0
Tom Misch - Geography,401,Neo-Soul,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,42.00,42,73.96875,1,0,0
Matthew Revert/Vanessa Rossetto - Everyone Needs a Plan,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,42.00,42,73.96875,1,0,0
SiR - November,294,Neo-Soul,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,43.00,43,74,1,0,0
St. Lenox - Ten Fables of Young Ambition and Passionate Love,360,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,43.00,43,74,1,0,0
Nkisi - The Dark Orchestra,389,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,43.00,43,74,1,0,0
Unknown Mortal Orchestra - Sex & Food,402,Neo-Psychedelia,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,43.00,43,74,1,0,0
Ichiko Aoba - qp,425,Folk,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,43.00,43,74,1,0,0
Save Face - Merci,451,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,43.00,43,74,1,0,0
Alice Bag - Blueprint,201,Punk Rock,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.03125,1,0,0
Hayley Kiyoko - Expectations,276,Electropop,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.03125,1,0,0
Future - BEASTMODE 2,341,Trap Rap,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,44.00,44,74.03125,1,0,0
Remember Sports - Slow Buzz,452,Pop Punk,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,44.00,44,74.03125,1,0,0
Panic! at the Disco - Pray for the Wicked,515,Pop Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,44.00,44,74.03125,1,0,0
"Jeff Witscher - Approximately 1,000 Beers",535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,44.00,44,74.03125,1,0,0
Low Jack - Riddims du Lieu-dit,558,Techno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,44.00,44,74.03125,1,0,0
"Wye Oak - The Louder I Call, The Faster It Runs",101,Indie Pop,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.0625,1,0,0
Paul Kelly - Nature,131,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.0625,1,0,0
Vikingur Olafsson - Johann Sebastian Bach,202,Classical,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.0625,1,0,0
The Caretaker - Everywhere at the End of Time Stage 5,236,Experimental,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.0625,1,0,0
Metric - Art of Doubt,264,Indie Rock,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.0625,1,0,0
RUFUS - Solace,277,Deep House,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.0625,1,0,0
