ALBUM,MOJO,UNCUT,RGHTRD,EXCLM,CNSQE,PASTE,ROLSTN,SGUM,QTUS,STILL,NORIP,FADER,NME,ALTNVE,BPM,BBRD,BVEG,CLASH,CMPLX,CRACK,DBLJ,FLOOD,KRNG,LINE,LTW,MONDO,mOMH,NT,P4K,POPMT,SLANT,TRBLE,WIRE,HOTP,GRDN,LESIN,EARMK,SPTNK,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Heems & Lapgan - Lafandar,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.39473684,1,0,0
Heriot - Devoured by the Mouth of Hell,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.39473684,1,0,0
Jacken Elswyth - At Fairgrounds,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.39473684,1,0,0
Jasmine Wood - Piano Reverb,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.39473684,1,0,0
Suki Waterhouse - Memoir of a Sparklemuffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,14.00,14,73.39473684,1,0,0
Balance and Composure - with you in spirit,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,73.42105263,1,0,0
Kid Kapichi - There Goes the Neighbourhood,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,73.42105263,1,0,0
Wand - Vertigo,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,45.00,22.5,73.42105263,2,0,0
Örnatorpet - Fordomdags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,15.00,15,73.42105263,1,0,0
Álvaro Díaz - Sayonara,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.44736842,1,0,0
DORIS - Ultimate Love Songs Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,16.00,16,73.44736842,1,0,0
"RM - Right Place, Wrong Person",,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.44736842,1,0,0
Tashi Wada - What Is Not Strange?,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.44736842,1,0,0
Trent Reznor & Atticus Ross & Boys Noise - Challengers [MIXED],,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.44736842,1,0,0
WhoMadeWho - Kiss & Forget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,16.00,16,73.44736842,1,0,0
070 Shake - Petrichor,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.47368421,1,0,0
Corridor - Mimi,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.47368421,1,0,0
House of All - Continuum,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.47368421,1,0,0
"Katy J Pearson - Someday, Now",,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.47368421,1,0,0
Lala &ce - SOLSTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,17.00,17,73.47368421,1,0,0
Leon Thomas III - MUTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,17.00,17,73.47368421,1,0,0
Macseal - Permanent Repeat,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.47368421,1,0,0
Post Malone - F-1 Trillion,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.47368421,1,0,0
"Tapir! - The Pilgrim, Their God & The King of My Decrepit Mountain",,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.47368421,1,0,0
Conchúr White - Swirling Violets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,18.00,18,73.5,1,0,0
d0llywood1 - This is just a dream (and soon I will awake),,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.5,1,0,0
Erotic Secrets of Pompeii - Mondo Maleficum,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.5,1,0,0
Grace Cummings - Ramona,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.5,1,0,0
Lord Spikeheart - The Adept,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.5,1,0,0
Malice K - AVANTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,18.00,18,73.5,1,0,0
Marianas Trench - Haven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,18.00,18,73.5,1,0,0
Nonpareils - Rhetoric & Terror,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.5,1,0,0
Zetra - Zetra,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.5,1,0,0
Bonny Light Horseman - Keep Me On Your Mind/See You Free,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
Dillom - Por cesárea,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
DOBBY - Warrangu: River Story,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
Gemma Hayes - Blind Faith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
Gnod - Spot Land,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
Lollise - I hit the water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
Pat Thomas - The Solar Model of Ibn Al-Shatir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
Primal Scream - Come Ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,19.00,19,73.52631579,1,0,0
Richard Hawley - In This City They Call You Love,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
The Umbrellas - Fairweather Friend,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
The Warning - Keep Me Fed,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.52631579,1,0,0
Alcest - Les Chants de l'Aurore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,19.00,19,73.52631579,1,0,0
Cappo - S.T.A.R.V.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Clara Luciani - Mon sang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Colin Stetson - The love it took to leave you,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Combat - Stay Golden,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Crawlers - The Mess We Seem To Make,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Lady Blackbird - Slang Spirituals,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Lime Garden - One More Thing,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Sealionwomman - Nothing Will Grow in the Soil,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
"Shaboozey - Where I've Been, Isn't Where I'm Going",,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Tucker Zimmerman - Dance of Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Y$ - Vultures 1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.55263158,1,0,0
Frail Body - Artificial Bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,20.00,20,73.55263158,1,0,0
Amen Dunes - Death Jokes,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.57894737,1,0,0
De Schuurman - Bubbling Forever,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.57894737,1,0,0
J. Cole - Might Delete Later,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.57894737,1,0,0
Nicolette & The Nobodies - The Long Way,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.57894737,1,0,0
Sum 41 - Heaven :x: Hell,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.57894737,1,0,0
Uboa - Impossible Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,21.00,21,73.57894737,1,0,0
Fay Victor - Life is Funny That Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,22.00,22,73.60526316,1,0,0
Heems - Veena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,22.00,22,73.60526316,1,0,0
"James Vincent McMorrow - Wide open, horses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,22.00,22,73.60526316,1,0,0
Kid Bookie - Songs for the Living/Songs for the Dead,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.60526316,1,0,0
Various Artists - Twisters: The Album,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.60526316,1,0,0
Yeat - 2093,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.60526316,1,0,0
200 Stab Wounds - Manual Manic Procedures,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.63157895,1,0,0
Able Noise - High Tide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,23.00,23,73.63157895,1,0,0
Don Toliver - Hardstone Psycho,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.63157895,1,0,0
Hifi Sean & David McAlmont - Daylight,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.63157895,1,0,0
"Joan As Police Woman - Lemons, Limes and Orchids",49,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,49.00,24.5,73.63157895,2,0,0
Khruangbin - A LA SALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,23.00,23,73.63157895,1,0,0
The Messthetics & James Brandon Lewis - S/T,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.63157895,1,0,0
Tim Reaper & Kloke - In Full Effect,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.63157895,1,0,0
William Doyle - Springs Eternal,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73.63157895,1,0,0
1999 WRITE THE FUTURE - hella (˃̣̣̥╭╮˂̣̣̥) ✧ ♡ ‧º·˚,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
A. Swayze & The Ghosts - Let's Live a Better Life Than This,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Hayden Thorpe - Ness,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Jimmy Montague - Tomorrow's Coffee,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Joanne Robertson & Dean Blunt - Backstage Raver,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Mercury Rev - Born Horses,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Pale Waves - Smitten,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Phosphorescent - Revelator,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
RÓIS - MO LÉAN,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Sharp Pins - Radio DDR,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Tierra Whack - World Wide Whack,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Yobs - Yobs,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.65789474,1,0,0
Ceres - Magic Mountain (1996 - 2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,24.00,24,73.65789474,1,0,0
Childish Gambino - Atavista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,25.00,25,73.68421053,1,0,0
"Erland Cooper - Carve The Runes, Then Be Content With Silence",,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,25.00,25,73.68421053,1,0,0
Félicia Atkinson - Space as an Instrument,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.68421053,1,0,0
Graphic Nature - Who Are You When No One is Watching?,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.68421053,1,0,0
Pregoblin - Pregoblin II,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.68421053,1,0,0
Richie Culver - Scream If You Don't Exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,25.00,25,73.68421053,1,0,0
Sierra Ferrell - Trail of Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,25.00,25,73.68421053,1,0,0
Fatboi Sharif & Roper Williams - Something About Shirley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,26.00,26,73.71052632,1,0,0
MGMT - Loss of Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,26.00,26,73.71052632,1,0,0
Rejjie Snow - Peace 2 Da World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,26.00,26,73.71052632,1,0,0
Tess Parks - Pomegranate,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.71052632,1,0,0
Xavi - Next,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.71052632,1,0,0
Leprous - Melodies of Atonement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,26.00,26,73.71052632,1,0,0
Bonnie Banane - Nini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,27.00,27,73.73684211,1,0,0
Fine - Rocky Top Ballads,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.73684211,1,0,0
Grace Petrie - Build Something Better,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,27.00,27,73.73684211,1,0,0
Keeley Forsyth - The Hollow,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.73684211,1,0,0
Milkweed - Folklore 1979 (Volume 90),,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.73684211,1,0,0
The Coronas - Thoughts & Observations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,27.00,27,73.73684211,1,0,0
The The - Ensoulment,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.73684211,1,0,0
A Lazarus Soul - No Flowers Grow in Cement Gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,28.00,28,73.76315789,1,0,0
Better Lovers - Highly Irresponsible,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.76315789,1,0,0
Elijah Minnelli - Perpetual Musket,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.76315789,1,0,0
Jon Hopkins - Ritual,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,28.00,28,73.76315789,1,0,0
Logic1000 - Mother,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.76315789,1,0,0
The Bug - Machines I - V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,28.00,28,73.76315789,1,0,0
The Goalie's Anxiety at the Penalty Kick - The Iliad and the Odyssey and...,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.76315789,1,0,0
Job for a Cowboy - Moon Healer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,28.00,28,73.76315789,1,0,0
Eros - Your Truth is a Lie,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.78947368,1,0,0
Lowen - Do Not Go To War with the Demons of Mazandaran,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.78947368,1,0,0
Niamh Regan - Come As You Are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,29.00,29,73.78947368,1,0,0
Oisin Leech - Cold Sea,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.78947368,1,0,0
Sarah Blasko - I Just Need to Conquer This Mountain,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.78947368,1,0,0
The Jesus Lizard - Rack,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.78947368,1,0,0
Elsy Wameyo - Saint Sinner,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
Gwendoline - C'est à moi ça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,30.00,30,73.81578947,1,0,0
Hermanos Gutiérrez - Sonido Cósmico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,30.00,30,73.81578947,1,0,0
Infant Island - Obsidian Wreath,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
Kenny Mason - 9,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
Max Richter - In A Landscape,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
Middle Kids - Faith Crisis Pt. 1,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
Pa Salieu - Afrikan Alien,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
Stand Atlantic - Was Here,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
The Dare - What's Wrong with New York?,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
tripleS - ASSEMBLE24,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
Xylitol - Anemones,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.81578947,1,0,0
Eric Chenaux Trio - Delights of My Life,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.84210526,1,0,0
Griff - Vertigo,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.84210526,1,0,0
Little Simz - Drop 7,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,31.00,31,73.84210526,1,0,0
Lola Young - This Wasn't Meant For You Anyway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,31.00,31,73.84210526,1,0,0
Office Culture - Enough,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.84210526,1,0,0
One Step Closer - All You Embrace,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.84210526,1,0,0
Reyna Tropical - Malegría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,31.00,31,73.84210526,1,0,0
Two Shell - Two Shell,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.84210526,1,0,0
Beak> - >>>>,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.86842105,1,0,0
FLO - Access All Areas,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.86842105,1,0,0
King Stingray - For The Dreams,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.86842105,1,0,0
Mothica - Kissing Death,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.86842105,1,0,0
Normani - Dopamine,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.86842105,1,0,0
Sisso & Maiko - Singeli ya Maajabu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,32.00,32,73.86842105,1,0,0
BERWYN - Who Am I,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
Boston Manor - Sundiver,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
Coco & Clair Clair - Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
Donato Dozzy - Magda,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
La Femme - Rock Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,33.00,33,73.89473684,1,0,0
Milton Nascimento & Esperanza Spalding - Milton + esperanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
Roc Marciano - Marciology,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
Susan O'Neill - Now in a Minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
Thurston Moore - Flow Critical Lucidity,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
Willie Nelson - The Border,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
your arms are my cocoon - death of a rabbit,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.89473684,1,0,0
"Carín León - Boca Chueca, Vol. 1",,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.92105263,1,0,0
Cassyette - This World Fucking Sucks,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.92105263,1,0,0
Kai Tak - Designed In Heaven Made In Hong Kong,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.92105263,1,0,0
Kit Sebastian - New Internationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,34.00,34,73.92105263,1,0,0
Lake Street Dive - Good Together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,34.00,34,73.92105263,1,0,0
Laurie Anderson - Amelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,34.00,34,73.92105263,1,0,0
