ALBUM,MOJO,UNCUT,RGHTRD,EXCLM,CNSQE,PASTE,ROLSTN,SGUM,QTUS,STILL,NORIP,FADER,NME,ALTNVE,BPM,BBRD,BVEG,CLASH,CMPLX,CRACK,DBLJ,FLOOD,KRNG,LINE,LTW,MONDO,mOMH,NT,P4K,POPMT,SLANT,TRBLE,WIRE,HOTP,GRDN,LESIN,EARMK,SPTNK,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
"This is Lorelei - Box For Buddy, Box For Star",,,,,,25,,13,,,20,32,,13,,,11,,,,,,,,,,,23,39,,,,,,,,,,,,,,,,,,22.00,2.75,63.84210526,8,0,0
Tyla - Tyla,,,,,,,6,,,,,37,19,,,13,,15,37,,,,,,,,,,22,,,,,,28,,,,,,,,,,,,22.13,2.765625,63.86842105,8,1,0
IDLES - TANGK,,,6,,,,,,,,,,46,,,,,,,,22,,31,30,5,35,,35,,,,,,,,,45,,,,,,,,,,28.33,3.148148148,63.94736842,9,2,0
Geordie Greep - The New Sound,,,32,,,,,,,6,,,,,,,,,,,,,,,,18,,4,,,26,32,,,,,,7,,,,,,,,,17.86,2.551020408,64.47368421,7,3,0
"Still House Plants - If I don't make it, I love u",,49,,26,,,,,6,,,,,,,,,25,,,,,,,,,,,15,,,,5,,14,,,,,,,,,,,,20.00,2.857142857,64.86842105,7,2,0
SPRINTS - Letter to Self,,,9,,,,,,,,9,,34,,,,,45,,,,,37,,,,,39,,,,,,11,,39,,,,,,,,,,,27.88,3.484375,65.07894737,8,2,0
Father John Misty - Mahashmashana,,,11,,48,49,,16,,,49,,,,32,,21,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,28.50,3.5625,65.21052632,8,1,0
Ariana Grande - eternal sunshine,,,,,,,8,,,,,,24,,,6,,,,,,,,,,,46,,,,,,,,24,,10,42,,,,,,,,,22.86,3.265306122,65.39473684,7,3,0
Brittany Howard - What Now,40,35,,,,,,,,,,,,,,,,,,,40,9,,,,,,,,39,50,17,,,,,,30,,,,,,,,,32.50,4.0625,66.05263158,8,1,0
Julia Holter - Something in the Room She Moves,,12,,,,,,,,,,35,,,26,,,,,,,,,,,43,31,48,,,,38,,,,,,32,,,,,,,,,33.13,4.140625,66.18421053,8,0,0
Kim Deal - Nobody Loves You More,6,42,,,50,43,,,,,,,,,,,,,,,,27,,,,,32,40,,,,,,,,28,,,,,,,,,,,33.50,4.1875,66.26315789,8,1,0
Tems - Born in the Wild,,,,,,,37,,,,,8,41,,,18,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,21.67,3.611111111,66.57894737,6,1,0
Wild Pink - Dulling The Horns,,,,,11,9,,17,,,,,,5,,,,,,,,,,,,,,44,,46,,,,,,,,,,,,,,,,,22.00,3.666666667,66.63157895,6,2,0
Mustafa - Dunya,,,,4,,30,30,,,,,,8,,,,,,,,,,,44,,,,,,,,,,,,29,,,,,,,,,,,24.17,4.027777778,66.97368421,6,2,0
Kali Uchis - Orquídeas,,,,,,,,,,,,,,,,11,,48,49,,,45,,,,,,,36,,17,,,,22,,,,,,,,,,,,32.57,4.653061224,67.18421053,7,0,0
The Lemon Twigs - A Dream Is All We Know,8,,39,,,29,,,,,,,,,,,,,,,,,,,,26,,14,,,,,,,,44,,,,,,,,,,,26.67,4.444444444,67.36842105,6,1,0
Nadine Shah - Filthy Underneath,,,,,,,,,10,,33,,,,,,,31,,,,,,,,17,9,,,,,,,,,,,,,,,,,,,,20.00,4,67.76315789,5,2,0
Fat Dog - WOOF.,,,49,,,,,,,21,16,,,,,,,,,,,,,,30,20,,,,,,,,,,40,,,,,,,,,,,29.33,4.888888889,67.78947368,6,0,0
Kacey Musgraves - Deeper Well,,,,,8,,,,,,,,,,,12,,,,,23,,,,,,,,,,,,,32,26,,,,,,,,,,,,20.20,4.04,67.78947368,5,1,0
Chief Keef - Almighty So 2,,,,,,37,33,15,,,,,,,,,,,18,,,,,,,,,,49,,27,,,,,,,,,,,,,,,,29.83,4.972222222,67.86842105,6,0,0
"Godspeed You! Black Emperor - ""No Title as of 13 February 2024...""",,,,37,,,,,,46,,,,,44,,,,,,,39,,,41,,,,27,,,,,,,,22,,,,,,,,,,36.57,5.224489796,67.92105263,7,0,0
Rachel Chinouriri - What A Devastating Turn of Events,,,,,,,38,,,,,,10,,,44,,,,,,,,,,,,,,,,,,41,23,,28,,,,,,,,,,30.67,5.111111111,68,6,1,0
Caribou - Honey,,,40,5,,,,,,,,30,,,,,,,,,31,,,,,,,,,,,33,,,,49,,,,,,,,,,,31.33,5.222222222,68.10526316,6,1,0
Gouge Away - Deep Sage,,,,,,,,14,,,31,,,,,,15,,,,,,,,,,,,,36,,23,,,,,,,,,,,,,,,23.80,4.76,68.26315789,5,0,0
Sumac - The Healer,,,,33,,,,,,,,,,,,,36,,,,,,,,,,,,,26,,8,,,,,,16,,,,,,,,,23.80,4.76,68.26315789,5,1,0
Rafael Toral - Spectral Evolution,,,,,,,,,7,,,22,,,,,,,,,,,,,,,,,14,,,,2,,,,,,,,,,,,,,11.25,2.8125,68.28947368,4,2,0
Denzel Curry - King of the Mischievous South Vol. 2,,,28,,,,,,,,,,,,,,,,47,,,8,27,,,,,,,,,20,,,,,,,,,,,,,,,26.00,5.2,68.55263158,5,1,0
Floating Points - Cascade,,,,46,,,,32,,,,,,,,,,,,,,,,,,,11,,,,36,5,,,,,,,,,,,,,,,26.00,5.2,68.55263158,5,1,0
Chelsea Wolfe - She Reaches Out to She Reaches Out to She,,,,,,,,,,,39,,,,,,,,,,,,13,,,41,,,,,,29,,,,,,9,,,,,,,,,26.20,5.24,68.57894737,5,1,0
Yard Act - Where's My Utopia?,,,10,,,,,,,,,,,,,,,,,,14,,,,,42,,41,,30,,,,,,,,,,,,,,,,,27.40,5.48,68.73684211,5,1,0
Future & Metro Boomin - We Don't Trust You,,,,40,,,7,,,,,,,,,14,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,4,68.78947368,4,2,0
"Shabaka - Perceive Its Beauty, Acknowledge Its Grace",12,18,,,,,,,,38,41,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,27.80,5.56,68.78947368,5,0,0
Christopher Owens - I Wanna Run Barefoot Through Your Hair,,44,,,,,,,,,45,11,,,,,,,,,,,,,,,,1,,,,,,,,42,,,,,,,,,,,28.60,5.72,68.89473684,5,1,1
MIKE & Tony Seltzer - Pinball,,,,44,30,44,,,,,,,,,,,,,,40,,,,,,,,,,,24,,,,,,,36,,,,,,,,,36.33,6.055555556,68.89473684,6,0,0
E L U C I D - Revelator,,,,,,,,,,26,50,,,,,,33,,,29,,,,,,,,,,,,6,,,,,,,,,,,,,,,28.80,5.76,68.92105263,5,1,0
Jlin - Akoma,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,25,18,44,10,,,,,,,,,,,,,,,29.20,5.84,68.97368421,5,1,0
Chanel Beads - Your Day Will Come,,,,,,,,,,,,42,,,42,,,,,15,,,,4,,,,,46,,,,,,,,,,,,,,,,,,29.80,5.96,69.05263158,5,1,0
Nia Archives - Silence is Loud,,,,,,,,,,,,,4,,,,,,,,,42,,,15,,,,,,,,,,15,,,,,,,,,,,,19.00,4.75,69.10526316,4,1,0
Shellac - To All Trains,,37,,,40,,,,11,,,,,,,,,,,,,,,,,,,,,,,,17,,,48,,,,,,,,,,,30.60,6.12,69.15789474,5,0,0
Being Dead - EELS,,,,,,46,,,,,23,,,,,,,,,,,,,,,,,32,38,17,,,,,,,,,,,,,,,,,31.20,6.24,69.23684211,5,0,0
"Friko - Where we've been, Where we go from here",,,,,,4,,,,,3,,,,,,,,,,,,,,,,,37,,,37,,,,,,,,,,,,,,,,20.25,5.0625,69.23684211,4,2,0
Foxing - Foxing,,,,,,,,,,,,,,29,24,,24,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,20.50,5.125,69.26315789,4,1,0
Mach-Hommy - #RICHAXXHAITIAN,,,,,,,,49,,,,,,,,,38,,26,,,,,,,,,,,,,,,,36,,,17,,,,,,,,,33.20,6.64,69.5,5,0,0
Zach Bryan - The Great American Bar Scene,,,,,42,,12,,,,,,,,,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,5.75,69.52631579,4,0,0
Los Campesinos! - All Hell,,,,,,,,10,,,,,,,23,,,,,,,,,40,,,,,,48,,,,,48,,,,,,,,,,,,33.80,6.76,69.57894737,5,1,0
Pet Shop Boys - Nonetheless,32,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,21,35,,,,,,,,,,,23.75,5.9375,69.60526316,4,1,0
Rema - Heis,,,,,,,11,,,,,48,38,,,45,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,6.8,69.60526316,5,0,0
Jane Weaver - Love in Constant Spectacle,9,,31,,,,,,38,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,28.25,7.0625,70.07894737,4,1,0
Ravyn Lenae - Bird's Eye,,,,,,,,,,,,9,,,,42,,,,,,,,38,,,,,,,,,,,,,25,,,,,,,,,,28.50,7.125,70.10526316,4,1,0
A.G. Cook - Britpop,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,47,11,,,,,,,,,,28.75,7.1875,70.13157895,4,0,0
Liquid Mike - Paul Bunyan's Slingshot,,,,,32,,,,,,30,,,6,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,28.75,7.1875,70.13157895,4,1,0
skaiwater - #gigi,,,,,,,,,,,,1,,,,,,,27,,,,,,,,,,12,,,,,,,,,,,,,,,,,,13.33,4.444444444,70.13157895,3,1,1
The Smile - Cutouts,,,4,,,,,,,,,,,,48,,,,,,20,,,,,,43,,,,,,,,,,,,,,,,,,,,28.75,7.1875,70.13157895,4,1,0
Fievel Is Glauque - Rong Weicknes,,,,,,,,,47,7,,,,,,,,,,,,,,,,,,,32,,,,30,,,,,,,,,,,,,,29.00,7.25,70.15789474,4,1,0
Clarissa Connelly - World of Work,,,,,,,,,,,,5,,,,,,,,19,,,,,,,,,,,,,47,,46,,,,,,,,,,,,29.25,7.3125,70.18421053,4,1,0
Ducks Ltd. - Harm's Way,,,,10,,21,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,4.666666667,70.18421053,3,1,0
Peter Perrett - The Cleansing,19,19,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,14.00,4.666666667,70.18421053,3,1,0
DIIV - Frog in Boiling Water,,,,,,,,30,,,,,,,,,,,,,,,,,,,,3,,,,,,39,,46,,,,,,,,,,,29.50,7.375,70.21052632,4,1,0
KAYTRANADA - Timeless,,,,,,,40,,,,,,,,,37,,,,,4,,,,,,,,,,,,,,,,38,,,,,,,,,,29.75,7.4375,70.23684211,4,1,0
Lip Critic - Hex Dealer,,,,,38,,,,,28,,,,16,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,29.75,7.4375,70.23684211,4,0,0
Bladee - Cold Visions,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,8,,33,,,,,,,,,,,,,,,,15.00,5,70.26315789,3,2,0
GloRilla - Glorius,,,,,,,25,,,,,,,,,40,41,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.25,7.5625,70.28947368,4,0,0
Justice - Hyperdrama,,,,,,,,,,,,,,,,28,,,,,37,,,,,49,,,,,,,,,,7,,,,,,,,,,,30.25,7.5625,70.28947368,4,1,0
Remi Wolf - Big Ideas,,,,48,23,,,,,,,,,,,35,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,32.25,8.0625,70.5,4,0,0
Wishy - Triple Seven,,,,,46,50,,11,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.50,8.125,70.52631579,4,0,0
Willi Carlisle - Critterland,,,,,,39,,48,,,,,,,33,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,33.00,8.25,70.57894737,4,0,0
Speed - Only One Mode,,,,,,,,,,,,,,,,,29,,,,,,10,23,,,,,,,,,,,,,,,,,,,,,,,20.67,6.888888889,70.71052632,3,1,0
Taylor Swift - The Tortured Poets Department,,,,,,,23,,,,,,,,,8,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,20.67,6.888888889,70.71052632,3,1,0
Thou - Umbilical,,,,,,,,,,,,,,,,,31,,,,,44,,,,,,,,,,15,,,,,,48,,,,,,,,,34.50,8.625,70.73684211,4,0,0
Maggie Rogers - Don't Forget Me,,,,,,,,,,,,,,,,23,,29,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,21.33,7.111111111,70.76315789,3,0,0
Touché Amoré - Spiral in a Straight Line,,,,,,,,,,,,,,,,,,,,,,49,,,,36,,18,,,,36,,,,,,,,,,,,,,,34.75,8.6875,70.76315789,4,0,0
JPEGMAFIA - I Lay Down My Life For You,,,,,,,,,,4,,,,,,,,,,,,,,,,21,,,,,41,,,,,,,,,,,,,,,,22.00,7.333333333,70.81578947,3,1,0
Astrid Sonne - Great Doubt,,,,,,27,,,,,,,,,,,,,,31,,,,,,,,,9,,,,,,,,,,,,,,,,,,22.33,7.444444444,70.84210526,3,1,0
Confidence Man - 3AM (La La La),,,,,,,,,,,,,20,,,,,37,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,22.33,7.444444444,70.84210526,3,1,0
High Vis - Guided Tour,,,,,,,,36,,,,,,,,,26,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,22.33,7.444444444,70.84210526,3,1,0
John Cale - POPtical Illusion,28,20,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,22.67,7.555555556,70.86842105,3,0,0
"Ezra Collective - Dance, No One's Watching",33,,14,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,23.00,7.666666667,70.89473684,3,0,0
Mary Timony - Untame the Tiger,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,43,42,,21,,,,,,,,,,,,,,36.00,9,70.89473684,4,0,0
Laila! - Gap Year,,,,,,,,,,,,,,,,46,,,9,,,,,,,,,,,,,,,,,,15,,,,,,,,,,23.33,7.777777778,70.92105263,3,1,0
The Marías - Submarine,,,,,,,44,,,,,,,,,,,,,,,28,,,,,,,,,,,,37,,,36,,,,,,,,,,36.25,9.0625,70.92105263,4,0,0
Empress Of - For Your Consideration,,,,,,,,,,,,,,,49,,,40,,,,,,,,,,,,,21,,,,38,,,,,,,,,,,,37.00,9.25,71,4,0,0
