ALBUM,ID,genre,CMPLX,EXCLM,GIGW,GVSB,LTW,MOJO,NPR,PASTE,QTUS,ROUGH,UNCUT,BLBRD,CRACK,SGUM,RS,NBHAP,TRBLE,PFORK,ALBISM,SLANT,WIRE,POPMT,LoBF,FROUT,GODTV,NME,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Brand of Sacrifice - Lifeblood,76,Metal,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.26923077,1,0,0
Sangre Nueva - Goteo EP,155,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.26923077,1,0,0
Blue Orchids - Speed The Day,188,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.26923077,1,0,0
Part Chimp - Drool,293,Indie,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.26923077,1,0,0
Parannoul - To See The Next Part of the Dream,379,Indie,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,30.00,30,73.26923077,1,0,0
José González - Local Valley,410,Singer-Songwriter,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,30.00,30,73.26923077,1,0,0
Sourdure - De mòrt viva,483,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,30.00,30,73.26923077,1,0,0
The Allergies - Promised Land,524,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,30.00,30,73.26923077,1,0,0
Carín León - Inédito,346,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.30769231,1,0,0
Dos Santos - City of Mirrors,439,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,31.00,31,73.30769231,1,0,0
harvey_dug - Nu Grip,157,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.34615385,1,0,0
Paul McCartney - McCartney III,222,Rock,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.34615385,1,0,0
Ioulus - Oddkin,294,Indie,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.34615385,1,0,0
One Step Closer - This Place You Know,380,Punk,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,32.00,32,73.34615385,1,0,0
Moor Mother & Billy Woods - BRASS,464,Hip Hop,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,32.00,32,73.34615385,1,0,0
Wesley Joseph - ULTRAMARINE,494,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,32.00,32,73.34615385,1,0,0
UV-TV - Always Something,529,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,32.00,32,73.34615385,1,0,0
ZoZo Ginzburg - Blue Mountains,190,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
Endless Boogie - Admonitions,223,Rock,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
Katy Kirby - Cool Dry Place,265,Singer-Songwriter,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
Kizis - Tidibabide / Turn,295,Indie,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
Chuck Johnson - The Cinder Grove,328,Ambient,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
Klein - Harmattan,367,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
Current Joys - Voyager,412,Indie,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
Divide and Dissolve - Gas Lit,436,Metal,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
DJ Seinfeld - Mirrors,437,Electronic,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
Jon Batiste - WE ARE,450,Soul,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
Headie One - Too Loyal For My Own,500,Hip Hop,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,33.00,33,73.38461538,1,0,0
AJ Tracey - Flu Game,533,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,33.00,33,73.38461538,1,0,0
Emanuel - Alt Therapy,80,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.42307692,1,0,0
Steve Conte - Bronx Cheer,191,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.42307692,1,0,0
Emily D'Angelo - enargeia,245,Classical,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.42307692,1,0,0
Adult Mom - Driver,393,Indie,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,34.00,34,73.42307692,1,0,0
Alice Phoebe Lou - Glow,413,Indie,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,34.00,34,73.42307692,1,0,0
Texas - Hi,486,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,34.00,34,73.42307692,1,0,0
Nite Jewel - No Sun,158,Pop,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.46153846,1,0,0
Gojira - Fortitude,266,Metal,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.46153846,1,0,0
John Murry - The Stars Are God's Bullet Holes,329,Rock,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.46153846,1,0,0
Eliane Radigue - Occam Ocean 3,441,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,35.00,35,73.46153846,1,0,0
Half Waif - Mythopoetics,445,Indie,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,35.00,35,73.46153846,1,0,0
Tinashe - 333,490,R&B,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,35.00,35,73.46153846,1,0,0
Peter Gregson - Patina,522,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,35.00,35,73.46153846,1,0,0
G Herbo - 25,36,Hip Hop,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.5,1,0,0
24/7 Diva Heaven - Stress,193,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.5,1,0,0
Shirley Collins - Crowlink,296,Folk,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.5,1,0,0
Altin Gün - Yol,316,Pop,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,73.5,1,0,0
Odd Beholder - Sunny Bay,414,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,36.00,36,73.5,1,0,0
Karkhana - Al Azraqayn,452,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,36.00,36,73.5,1,0,0
LSDXOXO - Dedicated 2 Disrespect,459,Electronic,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,36.00,36,73.5,1,0,0
STR4TA - Aspects,484,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,36.00,36,73.5,1,0,0
Morray - Street Sermons,37,Pop,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.53846154,1,0,0
Snotty Nose Rez Kids - Life After,83,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.53846154,1,0,0
Renée Reed - Renée Reed,160,Indie,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.53846154,1,0,0
Renée Reed - J'ai rêve,161,Indie,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.53846154,1,0,0
Deathretro - Deathretro,194,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.53846154,1,0,0
Sturgill Simpson - Cuttin' Grass Vol. 2,224,Country,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.53846154,1,0,0
Dazy - MAXIMUMBLASTSUPERLOUD: The First 24 Songs,267,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.53846154,1,0,0
Dean Wareham - I Have Nothing To Say to the Mayor of L.A.,330,Indie,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.53846154,1,0,0
Pooh Shiesty - Shiesty Season,394,Hip Hop,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,37.00,37,73.53846154,1,0,0
Ray BLK - Access Denied,534,Pop,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,37.00,37,73.53846154,1,0,0
The William Loveday Intention - Will There Ever Be A Day...,195,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.57692308,1,0,0
Shackleton - Departing Like Rivers,297,Electronic,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.57692308,1,0,0
Marina Allen - Candlepower,317,Singer-Songwriter,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.57692308,1,0,0
Joy Oladokun - In Defense of My Own Happiness,349,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,38.00,38,73.57692308,1,0,0
Proc Fiskal - Siren Spine,371,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,38.00,38,73.57692308,1,0,0
Efterklang - Windflowers,415,Indie,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,38.00,38,73.57692308,1,0,0
Kate Ceberano - Sweet Inspiration,453,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,38.00,38,73.57692308,1,0,0
Navy Blue - Song of Sage: Post Panic!,468,Hip Hop,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,38.00,38,73.57692308,1,0,0
Pamela Z - A Secret Code,470,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,38.00,38,73.57692308,1,0,0
Curtis Harding - If Words Were Flowers,511,Soul,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,38.00,38,73.57692308,1,0,0
CHAI - WINK,121,Indie,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.61538462,1,0,0
Home Is Where - I Became Birds,382,Indie,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,39.00,39,73.61538462,1,0,0
Topaz Jones - Don't Go Tellin' Your Momma,395,Hip Hop,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,39.00,39,73.61538462,1,0,0
Patricia Brennan - Maquishti,472,Jazz,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,39.00,39,73.61538462,1,0,0
Carwyn Ellis & Rio 18 - Mas,510,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,39.00,39,73.61538462,1,0,0
BIG | BRAVE - Vital,85,Metal,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Paris Texas - BOY ANONYMOUS,122,Hip Hop,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Marissa Nadler - The Path Of The Clouds,197,Indie,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Chrissie Hynde - Standing in the Doorway,226,Rock,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Ed Dowie - The Obvious I,298,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Tindersticks - Distractions,318,Indie,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Sturgill Simpson - The Ballad of Dood & Juanita,331,Country,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Theon Cross - Intra-I,372,Jazz,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Chet Faker - Hotel Surrender,417,Electronic,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Rambutan - parallel systems,478,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Satomimagae - Hanazano,481,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Sierra Ferrell - Long Time Coming,501,Folk,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,40.00,40,73.65384615,1,0,0
Dummy - Mandatory Enjoyment,512,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,40.00,40,73.65384615,1,0,0
Rod Wave - Soulfly,41,Pop,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.69230769,1,0,0
The Zolas - Come Back To Life,86,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.69230769,1,0,0
Low Hummer - Modern Tricks For Living,123,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.69230769,1,0,0
Lola in Slacks - Moon Moth,198,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.69230769,1,0,0
Susana Baca - Palabras Urgentes,252,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.69230769,1,0,0
Aimee Mann - Queens of the Summer Hotel,424,Folk,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,41.00,41,73.69230769,1,0,0
WODE - Burn in Many Mirrors,497,Metal,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,41.00,41,73.69230769,1,0,0
Dijon - Absolutely,505,Soul,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,41.00,41,73.69230769,1,0,0
Ransom & Rome Streetz - Coup De Grace,42,Hip Hop,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.73076923,1,0,0
Neighborhood Brats - Confines of Life,199,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.73076923,1,0,0
Kenny Garrett - Sounds from the Ancestors,253,Jazz,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.73076923,1,0,0
—-__—___ - The Heart Pumps Kool-Aid,299,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.73076923,1,0,0
Azita - Glen Echo,429,Indie,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,42.00,42,73.73076923,1,0,0
"Vijay Iyer, Linda May Han Oh & Tyshawn Sorey - Uneasy",493,Jazz,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,42.00,42,73.73076923,1,0,0
Hayden Thorpe - Moondust for My Diamond,515,Indie,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,42.00,42,73.73076923,1,0,0
Theirry Larose - Cantalou,88,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.76923077,1,0,0
Holy Other - Lieve,164,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.76923077,1,0,0
The Catenary Wires - Birling Gap,200,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.76923077,1,0,0
The Mountain Goats - Dark In Here,270,Indie,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.76923077,1,0,0
My Morning Jacket - My Morning Jacket,332,Indie,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.76923077,1,0,0
Ayra Starr - 19 & Dangerous,373,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,43.00,43,73.76923077,1,0,0
Converge & Chelsea Wolfe - Bloodmoon: I,433,Metal,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,43.00,43,73.76923077,1,0,0
Raed Yassin - Archeophony,477,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,43.00,43,73.76923077,1,0,0
Shad - TAO,89,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.80769231,1,0,0
Sloppy Jane - Madison,165,Indie,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.80769231,1,0,0
Adia Victoria - Southern Gothic,254,Rock,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.80769231,1,0,0
Fred Again.. - Actual Life,350,Electronic,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.80769231,1,0,0
Iron Maiden - Senjutsu,397,Metal,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,44.00,44,73.80769231,1,0,0
Suuns - The Witness,418,Indie,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,44.00,44,73.80769231,1,0,0
Damon Locks Black Monument Ensemble - Now,434,Jazz,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,44.00,44,73.80769231,1,0,0
Joel Culpepper - Sgt Culpepper,449,Funk,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,44.00,44,73.80769231,1,0,0
"Young Stoner Life, Young Thug, & Gunna - Slime Language 2",498,Hip Hop,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,44.00,44,73.80769231,1,0,0
Griff - One Foot In Front of the Other,506,Pop,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,44.00,44,73.80769231,1,0,0
Tune-Yards - sketchy.,527,Indie,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,44.00,44,73.80769231,1,0,0
Bleachers - Take The Sadness Out of Saturday Night,535,Pop,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,44.00,44,73.80769231,1,0,0
Pi'erre Bourne - The Life of Pi'erre 5,45,Hip Hop,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
Yu Su - Yellow River Blue,90,Ambient,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
V/A - I Can't Complain But Sometimes I Still Do,166,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
Turner - Daydream & Stars,201,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
Rodrigo Amarante - Drama,255,Singer-Songwriter,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
Hawthonn - Earth Mirror,301,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
Bobby Gillespie & Jehnny Beth - Utopian Ashes,334,Rock,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
Car Culture - Dead Rock,374,Electronic,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
Fucked Up - Year of the Horse,443,Punk,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
William Parker - Mayan Space Station,495,Jazz,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,45.00,45,73.84615385,1,0,0
Joe & The Shitboys - The Reson for Hardcore Vibes Again,126,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.88461538,1,0,0
Vadim Repin et al. - Sofia Gubaidulina...,256,Classical,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.88461538,1,0,0
Fire-Toolz - Eternal Home,273,Electronic,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.88461538,1,0,0
"Rufus Isabel Elliot - A/am/ams (come ashore, turn over)",302,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.88461538,1,0,0
Sunroof - Electronic Music Improvisations Vol. 1,319,Electronic,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.88461538,1,0,0
Lightning Bug - A Color of the Sky,456,Indie,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,46.00,46,73.88461538,1,0,0
Mara TK - Bad Meditation,461,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,46.00,46,73.88461538,1,0,0
Meemo Comma - Neon Genesis: Soul Into Matter,463,Electronic,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,46.00,46,73.88461538,1,0,0
Goat Girl - On All Fours,513,Indie,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,46.00,46,73.88461538,1,0,0
Ty Segall - Harmonizer,528,Rock,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,46.00,46,73.88461538,1,0,0
Nao - And Then Life Was Beautiful,536,Soul,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,46.00,46,73.88461538,1,0,0
Aminé - TWOPOINTFIVE,47,Pop,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Ducks Ltd. - Modern Fiction,92,Indie,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Reigning Sound - A Little More Time with Reigning Sound,203,Punk,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Artifacts - ...and then there's this,257,Jazz,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Elephant9 - Arrival of the New Elders,336,Jazz,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
SG Lewis - times,352,Pop,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
"DJ Pitch - It's Not What You Said, It's Because You Spoke",375,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Jhay Cortez - Timelezz,399,Reggae,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
dltzk - Frailty,438,Indie,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Irreversible Entanglementts - Open the Gates,447,Jazz,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Patrick Shiroishi - Hidemi,473,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Scrimshire - Nothing Feels Like Everything,482,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Maisie Peters - You Signed Up For This,502,Pop,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,47.00,47,73.92307692,1,0,0
Molly Payton - Slack,507,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,47.00,47,73.92307692,1,0,0
White Flowers - Day By Day,532,Indie,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,47.00,47,73.92307692,1,0,0
Meek Mill - Expensive Pain,48,Hip Hop,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Equiknoxx - Basic Tools Mixtape,168,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
"Slow Down, Molasses - Minor Deaths",204,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Ruth Goller - Skylla,303,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Desire Marea - Desire,321,Electronic,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Young Dolph & Key Glock - Dum and Dummer 2,353,Hip Hop,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Sega Bodega - Romeo,376,R&B,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Flock of Dimes - Head of Roses,386,Indie,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Strand of Oaks - In Heaven,419,Indie,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Ahmed - Nights on Saturn (Communication),423,Jazz,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Esther Rose - How Many Times,442,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,48.00,48,73.96153846,1,0,0
Claud - Super Monster,508,Indie,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,48.00,48,73.96153846,1,0,0
J Balvin - JOSE,49,Pop,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74,1,0,0
Bull - Discover Effortless Living,129,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74,1,0,0
You'll Never Get to Heaven - Wave Your Moonlight Hat...,169,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74,1,0,0
The Stan Laurels - There Is No Light Without The Dark,205,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74,1,0,0
Succumb - XXI,304,Metal,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74,1,0,0
Sunburned Hand of the Man - Pick A Day To Die,337,Indie,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74,1,0,0
"Jack Ingram, Miranda Lambert & Jon Randall - The Marfa Tapes",354,Country,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,49.00,49,74,1,0,0
Arca - Kick ii,377,Electronic,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,49.00,49,74,1,0,0
Papangu - Holoceno,471,Metal,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,49.00,49,74,1,0,0
Inhaler - It Won't Always Be Like This,537,Post-Punk,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,49.00,49,74,1,0,0
Migos - Culture III,50,Hip Hop,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.03846154,1,0,0
Wau Wau Collectif - Yaral Sa Doom,170,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.03846154,1,0,0
Melvins - Working With God,305,Rock,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.03846154,1,0,0
Closer - Within One Stem,387,Punk,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,50.00,50,74.03846154,1,0,0
NEØV - Picture of a good life,421,Indie,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,50.00,50,74.03846154,1,0,0
IZ Band - IZ: Drop By Old Heaven Books,448,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,50.00,50,74.03846154,1,0,0
