name,slug,org,country,homepage_url,homepage_blurb,tags,hidden,standard_score,exact_crossings,artist_crossings
Radio Caprice - Experimental Techno [2],radio-caprice-experimental-techno-2,,The Russian Federation,http://radcap.ru/exptechno.html,"Радиоканал RADCAP (RADio CAPrice) - EXPERIMENTAL TECHNO - стабильный эфир, хороший звук, качественный контент.","[""electronic"",""experimental"",""experimental techno"",""techno""]",t,,,
Radio Caprice - Folk Death Metal,radio-caprice-folk-death-metal,,The Russian Federation,http://radcap.ru/folkdeathmetal.html,"Радиоканал RADCAP (RADio CAPrice) - FOLK DEATH METAL - стабильный эфир, хороший звук, качественный контент.","[""death metal"",""folk"",""folk metal"",""radcap"",""radio caprice"",""radio caprice; radcap""]",f,,,
Radio Caprice - Psychedelic Folk,radio-caprice-psychedelic-folk,,The Russian Federation,http://radcap.ru/psychfolk.html,"Радиоканал RADCAP (RADio CAPrice) - PSYCHEDELIC FOLK - стабильный эфир, хороший звук, качественный контент.","[""folk"",""psychedelic"",""psychedelic folk""]",t,,,
Radio Caprice: Ambient,radio-caprice-ambient,,The Russian Federation,http://radcap.ru/ambient.html,"Радиоканал RADCAP (RADio CAPrice) - AMBIENT - стабильный эфир, хороший звук, качественный контент.","[""ambient""]",f,,,
Radio Centraal 106.7FM,radio-centraal-106-7fm,,Belgium,https://www.radiocentraal.be/,,"[""avante-garde"",""community"",""experimental"",""independent"",""non-commercial"",""situationist""]",f,,,
Radio K (KUOM),radio-k,University of Minnesota,US,https://radiok.org/,Homepage | Radio K,"[""college"",""discovery"",""indie""]",f,,,
Radio Ozora,radio-ozora,,Hungary,https://radiozora.fm/,We are connected to the same frequency,"[""goa"",""psychedelic""]",f,,,
Radio Underground,radio-underground,,Poland,http://www.radiounderground.org/,PUNKOWE RADIO UNDERGROUND. Muzyka Punk z lat,"[""independent music"",""metal"",""polska"",""post-punk"",""punk"",""punk rock"",""punkowe radio"",""radio underground"",""reggae"",""ska""]",f,,,
Radio Zica,radio-zica,,Slovenia,http://radiozica.eu/,Radio Žica &#8211; &#8230; je špica!,"[""alternative"",""ambiental"",""blues"",""classic rock"",""funk"",""psychedelic"",""psychedelic rock"",""rock""]",f,,,
Rap House | NTS,rap-house-nts,,,https://www.nts.live/infinite-mixtapes/rap-house,808s and champagne.,"[""drill"",""experimental"",""rap"",""trap""]",t,,,
RauteMusik Lounge,rautemusik-lounge,,Germany,http://www.rautemusik.fm/lounge/,Webradio - Internetradio - RauteMusik,"[""ambient"",""chillout"",""jazz""]",f,,,
Resonance Extra,resonance-extra,,The United Kingdom Of Great Britain And Northern Ireland,https://extra.resonance.fm/,"Resonance Extra is a 24/7 digital broadcasting platform dedicated to global music, sound art and radio art based at Resonance, London","[""experimental"",""global"",""sound art""]",f,,,
Resonance FM 104.4 - London,resonance-fm-104-4-london,,The United Kingdom Of Great Britain And Northern Ireland,https://www.resonancefm.com/,"Resonance is a groundbreaking 24/7 radio station which broadcasts on 104.4 FM to central London, DAB to Greater London, nationally on Radioplayer and live streamed to the rest of the world","[""community radio"",""experimental"",""london""]",f,,,
Seven Rays - 7rays,seven-rays-7rays,,Ukraine,https://7promeniv.com.ua/radio-en,,"[""ambient"",""chillout"",""meditation"",""new age"",""relax""]",f,,,
Skylab Radio,skylab-radio,,Australia,http://skylab-radio.com/,Skylab | Home,"[""ambient"",""eclectic"",""experimental"",""hip-hop"",""house"",""rock"",""techno""]",f,,,
Slow Focus | NTS,slow-focus-nts,,The United Kingdom Of Great Britain And Northern Ireland,https://www.nts.live/infinite-mixtapes/slow-focus,"Meditative, relaxing and beatless: ambient, drone and ragas.","[""ambient"",""drone"",""relaxing""]",f,,,
Soho Radio,soho-radio,Soho Radio,GB,https://sohoradio.com/,"Soho Radio is an online radio station broadcasting live from Soho and New York to the world, featuring two channels: Soho & NYC + Culture.","[""community"",""eclectic"",""indie""]",f,,,
